record_date,transaction_type,transaction_today_amt
2023-06-29,Deposits,390674
2023-06-29,Withdrawals,286577
2023-06-30,Deposits,405198
2023-06-30,Withdrawals,623609
2023-07-03,Deposits,139179
2023-07-03,Withdrawals,158432
2023-07-05,Deposits,388600
2023-07-05,Withdrawals,289469
2023-07-06,Deposits,416164
2023-07-06,Withdrawals,284098
2023-07-07,Deposits,35049
2023-07-07,Withdrawals,60310
2023-07-10,Deposits,76974
2023-07-10,Withdrawals,55793
2023-07-11,Deposits,379396
2023-07-11,Withdrawals,329449
2023-07-12,Deposits,45437
2023-07-12,Withdrawals,121955
2023-07-13,Deposits,465850
2023-07-13,Withdrawals,464629
2023-07-14,Deposits,50494
2023-07-14,Withdrawals,53675
2023-07-17,Deposits,311592
2023-07-17,Withdrawals,265833
2023-07-18,Deposits,376049
2023-07-18,Withdrawals,323401
2023-07-19,Deposits,47268
2023-07-19,Withdrawals,119825
2023-07-20,Deposits,387105
2023-07-20,Withdrawals,399292
2023-07-21,Deposits,36060
2023-07-21,Withdrawals,51282
2023-07-24,Deposits,81856
2023-07-24,Withdrawals,45230
2023-07-25,Deposits,391540
2023-07-25,Withdrawals,337429
2023-07-26,Deposits,47029
2023-07-26,Withdrawals,119497
2023-07-27,Deposits,386335
2023-07-27,Withdrawals,399468
2023-07-28,Deposits,39144
2023-07-28,Withdrawals,44017
2023-07-31,Deposits,441541
2023-07-31,Withdrawals,540967
2023-08-01,Deposits,438081
2023-08-01,Withdrawals,597758
2023-08-02,Deposits,54073
2023-08-02,Withdrawals,45962
2023-08-03,Deposits,395182
2023-08-03,Withdrawals,458138
2023-08-04,Deposits,42062
2023-08-04,Withdrawals,52898
2023-08-07,Deposits,78367
2023-08-07,Withdrawals,48675
2023-08-08,Deposits,379787
2023-08-08,Withdrawals,374007
2023-08-09,Deposits,42171
2023-08-09,Withdrawals,122272
2023-08-10,Deposits,489864
2023-08-10,Withdrawals,464882
2023-08-11,Deposits,39756
2023-08-11,Withdrawals,35845
2023-08-14,Deposits,77794
2023-08-14,Withdrawals,42446
2023-08-15,Deposits,702313
2023-08-15,Withdrawals,895292
2023-08-16,Deposits,79835
2023-08-16,Withdrawals,121020
2023-08-17,Deposits,430335
2023-08-17,Withdrawals,390534
2023-08-18,Deposits,41691
2023-08-18,Withdrawals,53208
2023-08-21,Deposits,81618
2023-08-21,Withdrawals,49652
2023-08-22,Deposits,440970
2023-08-22,Withdrawals,396986
2023-08-23,Deposits,44223
2023-08-23,Withdrawals,119508
2023-08-24,Deposits,418521
2023-08-24,Withdrawals,382724
2023-08-25,Deposits,83362
2023-08-25,Withdrawals,40191
2023-08-28,Deposits,78305
2023-08-28,Withdrawals,45931
2023-08-29,Deposits,437847
2023-08-29,Withdrawals,386463
2023-08-30,Deposits,48690
2023-08-30,Withdrawals,46136
2023-08-31,Deposits,767491
2023-08-31,Withdrawals,699977
2023-09-01,Deposits,100089
2023-09-01,Withdrawals,386647
2023-09-05,Deposits,498096
2023-09-05,Withdrawals,402450
