record_date,debt_held_public_amt,intragov_hold_amt,tot_pub_debt_out_amt,src_line_nbr,record_fiscal_year,record_fiscal_quarter,record_calendar_year,record_calendar_quarter,record_calendar_month,record_calendar_day
2023-06-29,25430243041777.75,6887528328138.1,32317771369915.85,1,2023,3,2023,2,06,29
2023-06-30,25461998188055.84,6870275996707.15,32332274184762.99,1,2023,3,2023,2,06,30
2023-07-03,25459084714008.85,6861775945258.87,32320860659267.72,1,2023,4,2023,3,07,03
2023-07-05,25519177294520.73,6882950276436.94,32402127570957.67,1,2023,4,2023,3,07,05
2023-07-06,25589897134579.63,6884516187620.92,32474413322200.55,1,2023,4,2023,3,07,06
2023-07-07,25589710081130.35,6887846940074.65,32477557021205.0,1,2023,4,2023,3,07,07
2023-07-10,25588803096223.83,6892303235964.87,32481106332188.7,1,2023,4,2023,3,07,10
2023-07-11,25633781683720.91,6904685134353.32,32538466818074.23,1,2023,4,2023,3,07,11
2023-07-12,25633821130387.02,6884574686385.15,32518395816772.17,1,2023,4,2023,3,07,12
2023-07-13,25653457820714.17,6888864972685.43,32542322793399.6,1,2023,4,2023,3,07,13
2023-07-14,25653572867943.31,6888837915123.21,32542410783066.52,1,2023,4,2023,3,07,14
2023-07-17,25640127926386.32,6894882259909.02,32535010186295.34,1,2023,4,2023,3,07,17
2023-07-18,25679320577331.03,6911611290661.74,32590931867992.77,1,2023,4,2023,3,07,18
2023-07-19,25679252837370.23,6890662138007.97,32569914975378.2,1,2023,4,2023,3,07,19
2023-07-20,25696346915423.59,6895879413477.71,32592226328901.3,1,2023,4,2023,3,07,20
2023-07-21,25696711160445.54,6896251664018.17,32592962824463.71,1,2023,4,2023,3,07,21
2023-07-24,25696796546929.52,6900972490264.11,32597769037193.63,1,2023,4,2023,3,07,24
2023-07-25,25731318151865.02,6919905604112.59,32651223755977.61,1,2023,4,2023,3,07,25
2023-07-26,25731546565342.25,6903300137401.85,32634846702744.1,1,2023,4,2023,3,07,26
2023-07-27,25753140068904.18,6906238622345.23,32659378691249.41,1,2023,4,2023,3,07,27
2023-07-28,25752739140296.84,6904381456201.17,32657120596498.01,1,2023,4,2023,3,07,28
2023-07-31,25708799188483.91,6899785884182.23,32608585072666.14,1,2023,4,2023,3,07,31
2023-08-01,25740123485927.36,6847445496577.85,32587568982505.21,1,2023,4,2023,3,08,01
2023-08-02,25740356333124.46,6858995021324.67,32599351354449.13,1,2023,4,2023,3,08,02
2023-08-03,25759287856824.22,6845039787664.48,32604327644488.7,1,2023,4,2023,3,08,03
2023-08-04,25758851818235.69,6844294256893.84,32603146075129.53,1,2023,4,2023,3,08,04
2023-08-07,25759016987176.09,6852289812132.15,32611306799308.24,1,2023,4,2023,3,08,07
2023-08-08,25778440181711.5,6865696682925.27,32644136864636.77,1,2023,4,2023,3,08,08
2023-08-09,25778304585040.2,6842625742793.91,32620930327834.11,1,2023,4,2023,3,08,09
2023-08-10,25812225197718.34,6845837808892.23,32658063006610.57,1,2023,4,2023,3,08,10
2023-08-11,25812094620607.35,6846513599635.79,32658608220243.14,1,2023,4,2023,3,08,11
2023-08-14,25812732982266.5,6850797467502.27,32663530449768.77,1,2023,4,2023,3,08,14
2023-08-15,25814344975175.86,6865596448992.73,32679941424168.59,1,2023,4,2023,3,08,15
2023-08-16,25814897784477.01,6846680465200.02,32661578249677.03,1,2023,4,2023,3,08,16
2023-08-17,25850475396069.84,6853217148560.19,32703692544630.03,1,2023,4,2023,3,08,17
2023-08-18,25850890627408.14,6853524326841.34,32704414954249.48,1,2023,4,2023,3,08,18
2023-08-21,25851338453031.71,6859296010089.41,32710634463121.12,1,2023,4,2023,3,08,21
2023-08-22,25886489572735.04,6872817707411.95,32759307280146.99,1,2023,4,2023,3,08,22
2023-08-23,25886300370614.66,6854072396998.96,32740372767613.62,1,2023,4,2023,3,08,23
2023-08-24,25922115213450.97,6855764514954.54,32777879728405.51,1,2023,4,2023,3,08,24
2023-08-25,25946514803377.09,6863708742769.77,32810223546146.86,1,2023,4,2023,3,08,25
2023-08-28,25947218499165.31,6867224506399.54,32814443005564.85,1,2023,4,2023,3,08,28
2023-08-29,25982708609301.7,6873750407310.25,32856459016611.95,1,2023,4,2023,3,08,29
2023-08-30,25982664124907.71,6871788732712.39,32854452857620.1,1,2023,4,2023,3,08,30
2023-08-31,26044050577584.54,6870098786176.41,32914149363760.95,1,2023,4,2023,3,08,31
2023-09-01,26044507800625.7,6797008538428.83,32841516339054.53,1,2023,4,2023,3,09,01
2023-09-05,26077617922113.74,6813047295592.09,32890665217705.83,1,2023,4,2023,3,09,05
2023-09-06,26077580698557.5,6825573000129.27,32903153698686.77,1,2023,4,2023,3,09,06
2023-09-07,26108844533675.44,6826805949872.26,32935650483547.7,1,2023,4,2023,3,09,07
2023-09-08,26109080792236.31,6831580411285.56,32940661203521.87,1,2023,4,2023,3,09,08
2023-09-11,26109190196680.37,6831439396144.29,32940629592824.66,1,2023,4,2023,3,09,11
2023-09-12,26140258067985.33,6839663548727.33,32979921616712.66,1,2023,4,2023,3,09,12
2023-09-13,26140787908311.45,6818717245265.57,32959505153577.02,1,2023,4,2023,3,09,13
2023-09-14,26166758026969.24,6821874816694.86,32988632843664.1,1,2023,4,2023,3,09,14
2023-09-15,26214467619830.38,6830391110637.66,33044858730468.04,1,2023,4,2023,3,09,15
2023-09-18,26214774694145.72,6839176143575.18,33053950837720.9,1,2023,4,2023,3,09,18
2023-09-19,26234340083526.65,6857504027289.0,33091844110815.65,1,2023,4,2023,3,09,19
2023-09-20,26234126979922.55,6836676863562.09,33070803843484.64,1,2023,4,2023,3,09,20
2023-09-21,26256883939422.64,6843524418049.17,33100408357471.81,1,2023,4,2023,3,09,21
2023-09-22,26257563828493.74,6844401974406.66,33101965802900.4,1,2023,4,2023,3,09,22
2023-09-25,26257540552723.9,6854519839226.39,33112060391950.29,1,2023,4,2023,3,09,25
2023-09-26,26275119110710.2,6871289883822.16,33146408994532.36,1,2023,4,2023,3,09,26
2023-09-27,26274995762333.71,6851915709042.1,33126911471375.81,1,2023,4,2023,3,09,27
2023-09-28,26289027123953.3,6837449252984.06,33126476376937.36,1,2023,4,2023,3,09,28
2023-09-29,26330142473191.94,6837191571531.22,33167334044723.16,1,2023,4,2023,3,09,29
2023-10-02,26339002538627.28,7103146080990.15,33442148619617.43,1,2024,1,2023,4,10,02
2023-10-03,26367058728957.29,7107846139069.01,33474904868026.3,1,2024,1,2023,4,10,03
2023-10-04,26366947230514.69,7111012817290.78,33477960047805.47,1,2024,1,2023,4,10,04
2023-10-05,26401336139723.41,7112046372940.1,33513382512663.51,1,2024,1,2023,4,10,05
2023-10-06,26402295025521.83,7108538575708.38,33510833601230.21,1,2024,1,2023,4,10,06
2023-10-10,26436036277654.31,7114203028248.53,33550239305902.84,1,2024,1,2023,4,10,10
2023-10-11,26436716538490.99,7100421340919.42,33537137879410.41,1,2024,1,2023,4,10,11
2023-10-12,26427019000844.73,7096045673167.62,33523064674012.35,1,2024,1,2023,4,10,12
2023-10-13,26426737912612.51,7102390342575.97,33529128255188.48,1,2024,1,2023,4,10,13
2023-10-16,26474358051666.99,7115946521626.46,33590304573293.45,1,2024,1,2023,4,10,16
2023-10-17,26514681646246.71,7134005204720.78,33648686850967.49,1,2024,1,2023,4,10,17
2023-10-18,26514600427747.18,7114586677875.61,33629187105622.79,1,2024,1,2023,4,10,18
2023-10-19,26514791447517.55,7112152531967.57,33626943979485.12,1,2024,1,2023,4,10,19
2023-10-20,26514640558602.24,7112638635740.8,33627279194343.04,1,2024,1,2023,4,10,20
2023-10-23,26515454944212.13,7120558838973.59,33636013783185.72,1,2024,1,2023,4,10,23
2023-10-24,26555329165607.14,7128889946257.62,33684219111864.76,1,2024,1,2023,4,10,24
2023-10-25,26555586966540.18,7117822075798.25,33673409042338.43,1,2024,1,2023,4,10,25
2023-10-26,26555584041129.64,7120382649170.96,33675966690300.6,1,2024,1,2023,4,10,26
2023-10-27,26555921813583.64,7119662177726.68,33675583991310.32,1,2024,1,2023,4,10,27
2023-10-30,26556166875895.44,7119286705255.86,33675453581151.3,1,2024,1,2023,4,10,30
2023-10-31,26576222054905.35,7123358284223.14,33699580339128.49,1,2024,1,2023,4,10,31
2023-11-01,26575012517991.32,7062948956745.32,33637961474736.64,1,2024,1,2023,4,11,01
2023-11-02,26630281961741.23,7064028484339.35,33694310446080.58,1,2024,1,2023,4,11,02
2023-11-03,26630035169821.74,7047760798503.63,33677795968325.37,1,2024,1,2023,4,11,03
2023-11-06,26630878504859.46,7054670518622.98,33685549023482.44,1,2024,1,2023,4,11,06
2023-11-07,26660759220080.83,7062365782803.4,33723125002884.23,1,2024,1,2023,4,11,07
2023-11-08,26661887346319.75,7042631955438.58,33704519301758.33,1,2024,1,2023,4,11,08
2023-11-09,26656287173188.21,7044415221297.82,33700702394486.03,1,2024,1,2023,4,11,09
2023-11-10,26656297228213.21,7044221816895.7,33700519045108.91,1,2024,1,2023,4,11,10
2023-11-13,26656511120514.98,7047840223777.05,33704351344292.03,1,2024,1,2023,4,11,13
2023-11-14,26682674360903.6,7058084579394.54,33740758940298.14,1,2024,1,2023,4,11,14
2023-11-15,26660731529922.48,7042068826834.69,33702800356757.17,1,2024,1,2023,4,11,15
2023-11-16,26692308892194.77,7047831408550.3,33740140300745.07,1,2024,1,2023,4,11,16
2023-11-17,26692227905141.52,7053933299692.68,33746161204834.2,1,2024,1,2023,4,11,17
2023-11-20,26692445815829.42,7057731130389.17,33750176946218.59,1,2024,1,2023,4,11,20
2023-11-21,26718585115383.15,7067892421289.93,33786477536673.08,1,2024,1,2023,4,11,21
2023-11-22,26720115499960.31,7046303455654.53,33766418955614.84,1,2024,1,2023,4,11,22
2023-11-24,26771331485159.67,7055955956735.31,33827287441894.98,1,2024,1,2023,4,11,24
2023-11-27,26771780819894.09,7064913173966.26,33836693993860.35,1,2024,1,2023,4,11,27
2023-11-28,26777703430303.32,7074148512644.33,33851851942947.65,1,2024,1,2023,4,11,28
2023-11-29,26777711219088.21,7071491031182.63,33849202250270.84,1,2024,1,2023,4,11,29
2023-11-30,26843822063762.45,7034857303738.75,33878679367501.2,1,2024,1,2023,4,11,30
2023-12-01,26841899141108.59,6960778764596.98,33802677905705.57,1,2024,1,2023,4,12,01
2023-12-04,26842268790912.46,6972353185685.74,33814621976598.2,1,2024,1,2023,4,12,04
2023-12-05,26836499357657.48,6981876798788.72,33818376156446.2,1,2024,1,2023,4,12,05
2023-12-06,26836216971556.28,6981894333835.05,33818111305391.33,1,2024,1,2023,4,12,06
2023-12-07,26846003455945.39,6986812258814.7,33832815714760.09,1,2024,1,2023,4,12,07
2023-12-08,26845547562977.79,7001818570987.49,33847366133965.28,1,2024,1,2023,4,12,08
2023-12-11,26845481309902.06,7007047281644.33,33852528591546.39,1,2024,1,2023,4,12,11
2023-12-12,26833040275300.98,7018280929987.18,33851321205288.16,1,2024,1,2023,4,12,12
2023-12-13,26831255346478.6,6996955240224.82,33828210586703.42,1,2024,1,2023,4,12,13
2023-12-14,26839408031723.6,7000993486502.09,33840401518225.69,1,2024,1,2023,4,12,14
2023-12-15,26884830017231.68,6999015818324.36,33883845835556.04,1,2024,1,2023,4,12,15
2023-12-18,26884939028732.74,7006346105979.34,33891285134712.08,1,2024,1,2023,4,12,18
2023-12-19,26869396109579.57,7022719305079.53,33892115414659.1,1,2024,1,2023,4,12,19
2023-12-20,26870588772826.8,6999934731881.97,33870523504708.77,1,2024,1,2023,4,12,20
2023-12-21,26881279631976.22,7006386458682.18,33887666090658.4,1,2024,1,2023,4,12,21
2023-12-22,26880796429891.38,7020222898994.39,33901019328885.77,1,2024,1,2023,4,12,22
2023-12-26,26876124826110.32,7029348610162.06,33905473436272.38,1,2024,1,2023,4,12,26
2023-12-27,26876335151615.88,7019748226632.17,33896083378248.05,1,2024,1,2023,4,12,27
2023-12-28,26891920450910.61,7019307272259.87,33911227723170.48,1,2024,1,2023,4,12,28
2023-12-29,26938517614684.59,7062976040880.89,34001493655565.48,1,2024,1,2023,4,12,29
2024-01-02,26966333707733.52,7023793814333.31,33990127522066.83,1,2024,2,2024,1,01,02
2024-01-03,26967954226517.79,7026265646050.06,33994219872567.85,1,2024,2,2024,1,01,03
2024-01-04,26976928852286.78,7029342078398.78,34006270930685.56,1,2024,2,2024,1,01,04
2024-01-05,26976084404477.05,7033605651118.76,34009690055595.81,1,2024,2,2024,1,01,05
2024-01-08,26973939599749.78,7038259272542.18,34012198872291.96,1,2024,2,2024,1,01,08
2024-01-09,26974750049637.37,7050025008944.09,34024775058581.46,1,2024,2,2024,1,01,09
2024-01-10,26974362934797.17,7028075942693.64,34002438877490.81,1,2024,2,2024,1,01,10
2024-01-11,26985019110585.66,7073494783888.42,34058513894474.08,1,2024,2,2024,1,01,11
2024-01-12,26984681279437.27,7073476530013.9,34058157809451.17,1,2024,2,2024,1,01,12
2024-01-16,26977085934722.47,7084465647453.58,34061551582176.05,1,2024,2,2024,1,01,16
2024-01-17,26977279309230.03,7082884138400.4,34060163447630.43,1,2024,2,2024,1,01,17
2024-01-18,26986540939549.35,7083359192203.67,34069900131753.02,1,2024,2,2024,1,01,18
2024-01-19,26985839298705.0,7086502734234.15,34072342032939.15,1,2024,2,2024,1,01,19
2024-01-22,26985255075314.51,7091416642396.9,34076671717711.41,1,2024,2,2024,1,01,22
2024-01-23,27003770167433.26,7105608208310.77,34109378375744.03,1,2024,2,2024,1,01,23
2024-01-24,27002945955816.55,7085429121176.76,34088375076993.31,1,2024,2,2024,1,01,24
2024-01-25,27031896294653.96,7103634187637.92,34135530482291.88,1,2024,2,2024,1,01,25
2024-01-26,27031563517077.75,7103893544561.61,34135457061639.36,1,2024,2,2024,1,01,26
2024-01-29,27031268655335.78,7107203835974.24,34138472491310.02,1,2024,2,2024,1,01,29
2024-01-30,27058247867739.38,7114581473729.03,34172829341468.41,1,2024,2,2024,1,01,30
2024-01-31,27071861894841.0,7119288507552.64,34191150402393.64,1,2024,2,2024,1,01,31
2024-02-01,27096145994220.71,7058869635447.96,34155015629668.67,1,2024,2,2024,1,02,01
2024-02-02,27095216791114.36,7052130829072.51,34147347620186.87,1,2024,2,2024,1,02,02
2024-02-05,27095044263981.65,7058929865486.06,34153974129467.71,1,2024,2,2024,1,02,05
2024-02-06,27125821609881.79,7070743038173.98,34196564648055.77,1,2024,2,2024,1,02,06
2024-02-07,27125624577903.55,7071969914445.93,34197594492349.48,1,2024,2,2024,1,02,07
2024-02-08,27150016696468.02,7078682446985.32,34228699143453.34,1,2024,2,2024,1,02,08
2024-02-09,27149917447710.42,7078260848636.45,34228178296346.87,1,2024,2,2024,1,02,09
2024-02-12,27148944676868.26,7081838788515.02,34230783465383.28,1,2024,2,2024,1,02,12
2024-02-13,27177924667834.49,7091135826080.32,34269060493914.81,1,2024,2,2024,1,02,13
2024-02-14,27178010959199.55,7067304272552.47,34245315231752.02,1,2024,2,2024,1,02,14
2024-02-15,27184526004247.38,7081535008405.83,34266061012653.21,1,2024,2,2024,1,02,15
2024-02-16,27183667231435.16,7083563504673.22,34267230736108.38,1,2024,2,2024,1,02,16
2024-02-20,27208868737795.66,7096251893857.85,34305120631653.51,1,2024,2,2024,1,02,20
2024-02-21,27209148794470.33,7088619180868.87,34297767975339.2,1,2024,2,2024,1,02,21
2024-02-22,27242557270675.99,7089449355644.49,34332006626320.48,1,2024,2,2024,1,02,22
2024-02-23,27270277998967.49,7097920373931.67,34368198372899.16,1,2024,2,2024,1,02,23
2024-02-26,27270274003272.75,7106043048764.48,34376317052037.23,1,2024,2,2024,1,02,26
2024-02-27,27290138516220.85,7115061855089.5,34405200371310.35,1,2024,2,2024,1,02,27
2024-02-28,27290151250136.39,7091996957424.14,34382148207560.53,1,2024,2,2024,1,02,28
2024-02-29,27380289989183.77,7090793248927.98,34471083238111.75,1,2024,2,2024,1,02,29
2024-03-01,27378941449836.41,7014320949165.99,34393262399002.4,1,2024,2,2024,1,03,01
2024-03-04,27379505983815.03,7031386208537.02,34410892192352.05,1,2024,2,2024,1,03,04
2024-03-05,27394922018989.52,7044028048971.81,34438950067961.33,1,2024,2,2024,1,03,05
2024-03-06,27395073293225.1,7045758662531.44,34440831955756.54,1,2024,2,2024,1,03,06
2024-03-07,27409658010123.01,7051748549610.47,34461406559733.48,1,2024,2,2024,1,03,07
2024-03-08,27410398214937.37,7054660043964.07,34465058258901.44,1,2024,2,2024,1,03,08
