record_date,transaction_type,transaction_today_amt
2023-05-05,Withdrawals,27347
2023-05-08,Deposits,48241
2023-05-08,Withdrawals,31352
2023-05-09,Deposits,147370
2023-05-09,Withdrawals,189632
2023-05-10,Deposits,32155
2023-05-10,Withdrawals,95270
2023-05-11,Deposits,132843
2023-05-11,Withdrawals,153753
2023-05-12,Deposits,30621
2023-05-12,Withdrawals,37262
2023-05-15,Deposits,190898
2023-05-15,Withdrawals,280871
2023-05-16,Deposits,193168
2023-05-16,Withdrawals,181880
2023-05-17,Deposits,30903
2023-05-17,Withdrawals,83822
2023-05-18,Deposits,216410
2023-05-18,Withdrawals,236631
2023-05-19,Deposits,27148
2023-05-19,Withdrawals,20460
2023-05-22,Deposits,58862
2023-05-22,Withdrawals,43432
2023-05-23,Deposits,171452
2023-05-23,Withdrawals,170849
2023-05-24,Deposits,30468
2023-05-24,Withdrawals,84555
2023-05-25,Deposits,172178
2023-05-25,Withdrawals,191860
2023-05-26,Deposits,50618
2023-05-26,Withdrawals,41240
2023-05-30,Deposits,170685
2023-05-30,Withdrawals,179617
2023-05-31,Deposits,200333
2023-05-31,Withdrawals,205215
2023-06-01,Deposits,238149
2023-06-01,Withdrawals,342877
2023-06-02,Deposits,52355
2023-06-02,Withdrawals,75936
2023-06-05,Deposits,127580
2023-06-05,Withdrawals,71585
2023-06-06,Deposits,180540
2023-06-06,Withdrawals,190664
2023-06-07,Deposits,36444
2023-06-07,Withdrawals,24500
2023-06-08,Deposits,146289
2023-06-08,Withdrawals,142161
2023-06-09,Deposits,28639
2023-06-09,Withdrawals,32379
2023-06-12,Deposits,67161
2023-06-12,Withdrawals,37424
2023-06-13,Deposits,193407
2023-06-13,Withdrawals,162320
2023-06-14,Deposits,82695
2023-06-14,Withdrawals,79019
2023-06-15,Deposits,438988
2023-06-15,Withdrawals,276747
2023-06-16,Deposits,59930
2023-06-16,Withdrawals,26682
2023-06-20,Deposits,229986
2023-06-20,Withdrawals,155836
2023-06-21,Deposits,30100
2023-06-21,Withdrawals,102176
2023-06-22,Deposits,229072
2023-06-22,Withdrawals,147809
2023-06-23,Deposits,58592
2023-06-23,Withdrawals,36965
2023-06-26,Deposits,57738
2023-06-26,Withdrawals,34803
2023-06-27,Deposits,194091
2023-06-27,Withdrawals,153740
2023-06-28,Deposits,30631
2023-06-28,Withdrawals,89731
2023-06-29,Deposits,199663
2023-06-29,Withdrawals,152126
2023-06-30,Deposits,212254
2023-06-30,Withdrawals,367938
2023-07-03,Deposits,92260
2023-07-03,Withdrawals,103576
2023-07-05,Deposits,199069
2023-07-05,Withdrawals,152345
2023-07-06,Deposits,215974
2023-07-06,Withdrawals,150454
2023-07-07,Deposits,22882
2023-07-07,Withdrawals,39723
2023-07-10,Deposits,50837
2023-07-10,Withdrawals,36442
2023-07-11,Deposits,192614
2023-07-11,Withdrawals,173674
2023-07-12,Deposits,29655
2023-07-12,Withdrawals,80807
2023-07-13,Deposits,236751
2023-07-13,Withdrawals,240811
2023-07-14,Deposits,33184
2023-07-14,Withdrawals,35287
2023-07-17,Deposits,177979
2023-07-17,Withdrawals,142015
2023-07-18,Deposits,190526
2023-07-18,Withdrawals,167980
2023-07-19,Deposits,30918
2023-07-19,Withdrawals,79397
2023-07-20,Deposits,197164
2023-07-20,Withdrawals,209778
2023-07-21,Deposits,23514
2023-07-21,Withdrawals,33702
2023-07-24,Deposits,54093
2023-07-24,Withdrawals,29647
2023-07-25,Deposits,201098
2023-07-25,Withdrawals,175871
2023-07-26,Deposits,30720
2023-07-26,Withdrawals,79187
2023-07-27,Deposits,196844
2023-07-27,Withdrawals,211711
2023-07-28,Deposits,25632
2023-07-28,Withdrawals,28779
2023-07-31,Deposits,236656
2023-07-31,Withdrawals,288006
2023-08-01,Deposits,231873
2023-08-01,Withdrawals,347835
2023-08-02,Deposits,35440
2023-08-02,Withdrawals,30141
2023-08-03,Deposits,200652
2023-08-03,Withdrawals,247802
2023-08-04,Deposits,27564
2023-08-04,Withdrawals,34761
2023-08-07,Deposits,51770
2023-08-07,Withdrawals,31932
2023-08-08,Deposits,192770
2023-08-08,Withdrawals,194653
2023-08-09,Deposits,27649
2023-08-09,Withdrawals,81014
2023-08-10,Deposits,247816
2023-08-10,Withdrawals,240670
2023-08-11,Deposits,25998
2023-08-11,Withdrawals,23352
2023-08-14,Deposits,51386
2023-08-14,Withdrawals,27803
2023-08-15,Deposits,356942
2023-08-15,Withdrawals,485231
2023-08-16,Deposits,52607
2023-08-16,Withdrawals,80168
2023-08-17,Deposits,218908
2023-08-17,Withdrawals,203130
2023-08-18,Deposits,27305
2023-08-18,Withdrawals,34954
2023-08-21,Deposits,53942
2023-08-21,Withdrawals,32606
2023-08-22,Deposits,225717
2023-08-22,Withdrawals,207273
2023-08-23,Deposits,28993
2023-08-23,Withdrawals,79172
2023-08-24,Deposits,211999
2023-08-24,Withdrawals,199084
2023-08-25,Deposits,47093
2023-08-25,Withdrawals,26266
2023-08-28,Deposits,51516
2023-08-28,Withdrawals,30088
2023-08-29,Deposits,223438
2023-08-29,Withdrawals,199861
2023-08-30,Deposits,31959
2023-08-30,Withdrawals,30097
2023-08-31,Deposits,389537
2023-08-31,Withdrawals,363164
2023-09-01,Deposits,66002
2023-09-01,Withdrawals,256835
2023-09-05,Deposits,263990
2023-09-05,Withdrawals,210530
2023-09-06,Deposits,22440
2023-09-06,Withdrawals,35698
2023-09-07,Deposits,271895
2023-09-07,Withdrawals,243099
2023-09-08,Deposits,27312
2023-09-08,Withdrawals,27070
2023-09-11,Deposits,61195
2023-09-11,Withdrawals,29120
2023-09-12,Deposits,232617
2023-09-12,Withdrawals,210853
2023-09-13,Deposits,65331
2023-09-13,Withdrawals,92513
2023-09-14,Deposits,272172
2023-09-14,Withdrawals,203660
2023-09-15,Deposits,257765
2023-09-15,Withdrawals,203433
2023-09-18,Deposits,94847
2023-09-18,Withdrawals,32054
2023-09-19,Deposits,223623
2023-09-19,Withdrawals,219523
2023-09-20,Deposits,57581
2023-09-20,Withdrawals,84069
2023-09-21,Deposits,233249
2023-09-21,Withdrawals,211312
2023-09-22,Deposits,34961
2023-09-22,Withdrawals,51645
2023-09-25,Deposits,64004
2023-09-25,Withdrawals,32236
2023-09-26,Deposits,228337
2023-09-26,Withdrawals,221472
2023-09-27,Deposits,33430
2023-09-27,Withdrawals,90900
2023-09-28,Deposits,213033
