,ARIMA,RandomForest,Ensemble
2025-06-27,,-21317.99365738072,-21317.99365738072
2025-06-28,,-21317.99365738072,-21317.99365738072
2025-06-29,,-21317.99365738072,-21317.99365738072
2025-06-30,,-19863.609100763275,-19863.609100763275
2025-07-01,,-19567.345238995687,-19567.345238995687
2025-07-02,,-24994.94019394508,-24994.94019394508
2025-07-03,,-22277.526892478956,-22277.526892478956
2025-07-04,,-21137.96282404739,-21137.96282404739
2025-07-05,,-21137.96282404739,-21137.96282404739
2025-07-06,,-21137.96282404739,-21137.96282404739
2025-07-07,,22224.666876214553,22224.666876214553
2025-07-08,,-19567.345238995687,-19567.345238995687
2025-07-09,,-24994.94019394508,-24994.94019394508
2025-07-10,,-22277.526892478956,-22277.526892478956
2025-07-11,,-21137.96282404739,-21137.96282404739
2025-07-12,,-21137.96282404739,-21137.96282404739
2025-07-13,,-21137.96282404739,-21137.96282404739
2025-07-14,,22224.666876214553,22224.666876214553
2025-07-15,,-19567.345238995687,-19567.345238995687
2025-07-16,,-24994.94019394508,-24994.94019394508
2025-07-17,,-22277.526892478956,-22277.526892478956
2025-07-18,,-21137.96282404739,-21137.96282404739
2025-07-19,,-21137.96282404739,-21137.96282404739
2025-07-20,,-21137.96282404739,-21137.96282404739
2025-07-21,,22224.666876214553,22224.666876214553
2025-07-22,,-19567.345238995687,-19567.345238995687
2025-07-23,,-24994.94019394508,-24994.94019394508
2025-07-24,,-22277.526892478956,-22277.526892478956
2025-07-25,,-21137.96282404739,-21137.96282404739
2025-07-26,,-21137.96282404739,-21137.96282404739
2025-07-27,,-21137.96282404739,-21137.96282404739
2025-07-28,,22224.666876214553,22224.666876214553
2025-07-29,,-19567.345238995687,-19567.345238995687
2025-07-30,,-24994.94019394508,-24994.94019394508
2025-07-31,,-17436.202801534146,-17436.202801534146
2025-08-01,,-20155.295882582894,-20155.295882582894
2025-08-02,,-20155.295882582894,-20155.295882582894
2025-08-03,,-20155.295882582894,-20155.295882582894
2025-08-04,,21322.916845168802,21322.916845168802
2025-08-05,,-19279.607738995688,-19279.607738995688
2025-08-06,,-23755.27128463136,-23755.27128463136
2025-08-07,,-21421.092451014458,-21421.092451014458
2025-08-08,,-20155.295882582894,-20155.295882582894
2025-08-09,,-20155.295882582894,-20155.295882582894
2025-08-10,,-20155.295882582894,-20155.295882582894
2025-08-11,,21322.916845168802,21322.916845168802
2025-08-12,,-19279.607738995688,-19279.607738995688
2025-08-13,,-23755.27128463136,-23755.27128463136
2025-08-14,,-21421.092451014458,-21421.092451014458
2025-08-15,,-20155.295882582894,-20155.295882582894
2025-08-16,,-20155.295882582894,-20155.295882582894
2025-08-17,,-20155.295882582894,-20155.295882582894
2025-08-18,,21322.916845168802,21322.916845168802
2025-08-19,,-19279.607738995688,-19279.607738995688
2025-08-20,,-23755.27128463136,-23755.27128463136
2025-08-21,,-21421.092451014458,-21421.092451014458
2025-08-22,,-20155.295882582894,-20155.295882582894
2025-08-23,,-20155.295882582894,-20155.295882582894
2025-08-24,,-20155.295882582894,-20155.295882582894
2025-08-25,,21322.916845168802,21322.916845168802
2025-08-26,,-19279.607738995688,-19279.607738995688
2025-08-27,,-23755.27128463136,-23755.27128463136
2025-08-28,,-21421.092451014458,-21421.092451014458
2025-08-29,,-20155.295882582894,-20155.295882582894
2025-08-30,,-20155.295882582894,-20155.295882582894
2025-08-31,,-15313.971791638076,-15313.971791638076
2025-09-01,,24507.402955219488,24507.402955219488
2025-09-02,,-21754.19330819924,-21754.19330819924
2025-09-03,,-32647.33320990176,-32647.33320990176
2025-09-04,,-31247.27211582602,-31247.27211582602
2025-09-05,,-32041.32963830354,-32041.32963830354
2025-09-06,,-32041.32963830354,-32041.32963830354
2025-09-07,,-32041.32963830354,-32041.32963830354
2025-09-08,,24507.402955219488,24507.402955219488
2025-09-09,,-21754.19330819924,-21754.19330819924
2025-09-10,,-32647.33320990176,-32647.33320990176
2025-09-11,,-31247.27211582602,-31247.27211582602
2025-09-12,,-32041.32963830354,-32041.32963830354
2025-09-13,,-32041.32963830354,-32041.32963830354
2025-09-14,,-32041.32963830354,-32041.32963830354
2025-09-15,,24507.402955219488,24507.402955219488
2025-09-16,,-21754.19330819924,-21754.19330819924
2025-09-17,,-32647.33320990176,-32647.33320990176
2025-09-18,,-31247.27211582602,-31247.27211582602
2025-09-19,,-32041.32963830354,-32041.32963830354
2025-09-20,,-32041.32963830354,-32041.32963830354
2025-09-21,,-32041.32963830354,-32041.32963830354
2025-09-22,,24507.402955219488,24507.402955219488
2025-09-23,,-21754.19330819924,-21754.19330819924
2025-09-24,,-32647.33320990176,-32647.33320990176
2025-09-25,,-31247.27211582602,-31247.27211582602
2025-09-26,,-32041.32963830354,-32041.32963830354
2025-09-27,,-32041.32963830354,-32041.32963830354
2025-09-28,,-32041.32963830354,-32041.32963830354
2025-09-29,,24507.402955219488,24507.402955219488
2025-09-30,,-22622.271853972175,-22622.271853972175
2025-10-01,,-22109.78651256284,-22109.78651256284
2025-10-02,,-19024.966845612613,-19024.966845612613
2025-10-03,,-17603.329368090137,-17603.329368090137
2025-10-04,,-17603.329368090137,-17603.329368090137
2025-10-05,,-17603.329368090137,-17603.329368090137
2025-10-06,,23414.61040469261,23414.61040469261
2025-10-07,,-16998.169990736696,-16998.169990736696
2025-10-08,,-22109.78651256284,-22109.78651256284
2025-10-09,,-19024.966845612613,-19024.966845612613
2025-10-10,,-17603.329368090137,-17603.329368090137
2025-10-11,,-17603.329368090137,-17603.329368090137
2025-10-12,,-17603.329368090137,-17603.329368090137
2025-10-13,,23414.61040469261,23414.61040469261
2025-10-14,,-16998.169990736696,-16998.169990736696
