,ARIMA,RandomForest,Ensemble
2023-12-30,,-11094.706273813905,-11094.706273813905
2023-12-31,,-14011.235580340712,-14011.235580340712
2024-01-01,,-76687.92792424242,-76687.92792424242
2024-01-02,,16764.179481761337,16764.179481761337
2024-01-03,,9941.156855938956,9941.156855938956
2024-01-04,,17595.619485508076,17595.619485508076
2024-01-05,,18728.302977571566,18728.302977571566
2024-01-06,,16932.46504106363,16932.46504106363
2024-01-07,,15795.079131972721,15795.079131972721
2024-01-08,,28678.20600788434,28678.20600788434
2024-01-09,,26879.87396421748,26879.87396421748
2024-01-10,,7066.52228018138,7066.52228018138
2024-01-11,,17141.764909750502,17141.764909750502
2024-01-12,,17830.652624036215,17830.652624036215
2024-01-13,,16497.002465306054,16497.002465306054
2024-01-14,,17838.913465306057,17838.913465306057
2024-01-15,,27197.65600788434,27197.65600788434
2024-01-16,,27118.040535646054,27118.040535646054
2024-01-17,,5692.29835160995,5692.29835160995
2024-01-18,,13574.252331319125,13574.252331319125
2024-01-19,,10740.180640842935,10740.180640842935
2024-01-20,,9279.357148779443,9279.357148779443
2024-01-21,,9279.357148779443,9279.357148779443
2024-01-22,,24480.3437627863,24480.3437627863
2024-01-23,,23057.058861976584,23057.058861976584
2024-01-24,,-523.0818934880887,-523.0818934880887
2024-01-25,,8823.182926557221,8823.182926557221
2024-01-26,,7929.887640842935,7929.887640842935
2024-01-27,,5160.045259890554,5160.045259890554
2024-01-28,,2556.4830185112437,2556.4830185112437
2024-01-29,,21658.412762786298,21658.412762786298
2024-01-30,,14324.58311230596,14324.58311230596
2024-01-31,,-10585.58168414188,-10585.58168414188
2024-02-01,,-77503.34212280702,-77503.34212280702
2024-02-02,,12454.862977571564,12454.862977571564
2024-02-03,,17595.619485508076,17595.619485508076
2024-02-04,,17595.619485508076,17595.619485508076
2024-02-05,,29860.67917455101,29860.67917455101
2024-02-06,,26292.380964217486,26292.380964217486
2024-02-07,,8302.21228018138,8302.21228018138
2024-02-08,,16651.4749097505,16651.4749097505
2024-02-09,,17340.362624036214,17340.362624036214
2024-02-10,,16207.679131972722,16207.679131972722
2024-02-11,,16697.96913197272,16697.96913197272
2024-02-12,,29524.67600788434,29524.67600788434
2024-02-13,,26956.023964217482,26956.023964217482
2024-02-14,,8165.37228018138,8165.37228018138
2024-02-15,,16428.647814512406,16428.647814512406
2024-02-16,,18679.998385940977,18679.998385940977
2024-02-17,,15644.072393877485,15644.072393877485
2024-02-18,,13130.456553541348,13130.456553541348
2024-02-19,,25370.9237627863,25370.9237627863
2024-02-20,,23932.018861976583,23932.018861976583
2024-02-21,,483.65810651191134,483.65810651191134
2024-02-22,,8676.092926557221,8676.092926557221
2024-02-23,,9483.460640842935,9483.460640842935
2024-02-24,,8497.867148779444,8497.867148779444
2024-02-25,,8497.867148779444,8497.867148779444
2024-02-26,,22779.6807627863,22779.6807627863
2024-02-27,,21356.395861976584,21356.395861976584
2024-02-28,,-5307.6471157103115,-5307.6471157103115
2024-02-29,,1047.3430799712003,1047.3430799712003
2024-03-01,,-88280.042122807,-88280.042122807
2024-03-02,,11322.179485508073,11322.179485508073
2024-03-03,,17595.619485508076,17595.619485508076
2024-03-04,,24236.1620254282,24236.1620254282
2024-03-05,,26891.407130884145,26891.407130884145
2024-03-06,,12534.018189272289,12534.018189272289
2024-03-07,,16238.8749097505,16238.8749097505
2024-03-08,,17340.362624036214,17340.362624036214
2024-03-09,,16207.679131972722,16207.679131972722
2024-03-10,,16207.679131972722,16207.679131972722
2024-03-11,,29524.67600788434,29524.67600788434
2024-03-12,,26956.023964217482,26956.023964217482
2024-03-13,,10369.03228018138,10369.03228018138
2024-03-14,,18282.709243083835,18282.709243083835
2024-03-15,,17117.53552879812,17117.53552879812
2024-03-16,,17547.314893877487,17547.314893877487
2024-03-17,,15644.072393877485,15644.072393877485
2024-03-18,,27128.10209611964,27128.10209611964
2024-03-19,,23932.018861976583,23932.018861976583
2024-03-20,,3295.8781065119115,3295.8781065119115
2024-03-21,,9604.672926557221,9604.672926557221
2024-03-22,,9483.460640842935,9483.460640842935
2024-03-23,,8350.777148779443,8350.777148779443
2024-03-24,,8497.867148779444,8497.867148779444
2024-03-25,,24480.3437627863,24480.3437627863
2024-03-26,,21356.395861976584,21356.395861976584
2024-03-27,,-1116.3437823769775,-1116.3437823769775
2024-03-28,,2881.798796289022,2881.798796289022
2024-03-29,,358.3973021934222,358.3973021934222
2024-03-30,,-4975.561928575808,-4975.561928575808
2024-03-31,,-9222.610163674044,-9222.610163674044
2024-04-01,,-76687.92792424242,-76687.92792424242
2024-04-02,,16764.179481761337,16764.179481761337
2024-04-03,,12753.376855938955,12753.376855938955
2024-04-04,,17595.619485508076,17595.619485508076
2024-04-05,,18728.302977571566,18728.302977571566
2024-04-06,,16932.46504106363,16932.46504106363
2024-04-07,,15795.079131972721,15795.079131972721
2024-04-08,,28673.00600788434,28673.00600788434
2024-04-09,,26879.87396421748,26879.87396421748
2024-04-10,,9878.74228018138,9878.74228018138
2024-04-11,,17141.764909750502,17141.764909750502
2024-04-12,,17830.652624036215,17830.652624036215
2024-04-13,,16497.002465306054,16497.002465306054
2024-04-14,,17838.913465306057,17838.913465306057
2024-04-15,,27197.65600788434,27197.65600788434
2024-04-16,,27118.040535646054,27118.040535646054
2024-04-17,,8504.518351609951,8504.518351609951
2024-04-18,,13574.252331319125,13574.252331319125
2024-04-19,,10740.180640842935,10740.180640842935
2024-04-20,,9279.357148779443,9279.357148779443
2024-04-21,,9279.357148779443,9279.357148779443
2024-04-22,,24480.3437627863,24480.3437627863
2024-04-23,,23057.058861976584,23057.058861976584
2024-04-24,,2289.1381065119112,2289.1381065119112
2024-04-25,,8823.182926557221,8823.182926557221
2024-04-26,,7929.887640842935,7929.887640842935
2024-04-27,,5160.045259890554,5160.045259890554
