date,daily_cash_flow,cash_balance,outstanding_debt,new_debt_issued,unconventional_used,unconventional_remaining,debt_headroom
2025-06-27,-21317993657.380722,478682006342.61926,36215806064740.36,0.0,0.0,500000000000.0,1284193935259.6406
2025-06-28,-21317993657.380722,457364012685.2385,36215806064740.36,0.0,0.0,500000000000.0,1284193935259.6406
2025-06-29,-21317993657.380722,436046019027.8578,36215806064740.36,0.0,0.0,500000000000.0,1284193935259.6406
2025-06-30,-19863609100.763275,416182409927.0945,36215806064740.36,0.0,0.0,500000000000.0,1284193935259.6406
2025-07-01,-19567345238.995686,396615064688.0988,36215806064740.36,0.0,0.0,500000000000.0,1284193935259.6406
2025-07-02,-24994940193.94508,371620124494.15375,36215806064740.36,0.0,0.0,500000000000.0,1284193935259.6406
2025-07-03,-22277526892.47896,349342597601.6748,36215806064740.36,0.0,0.0,500000000000.0,1284193935259.6406
2025-07-04,-21137962824.04739,328204634777.62744,36215806064740.36,0.0,0.0,500000000000.0,1284193935259.6406
2025-07-05,-21137962824.04739,307066671953.5801,36215806064740.36,0.0,0.0,500000000000.0,1284193935259.6406
2025-07-06,-21137962824.04739,285928709129.5327,36215806064740.36,0.0,0.0,500000000000.0,1284193935259.6406
2025-07-07,22224666876.214558,308153376005.74725,36215806064740.36,0.0,0.0,500000000000.0,1284193935259.6406
2025-07-08,-19567345238.995686,288586030766.7516,36215806064740.36,0.0,0.0,500000000000.0,1284193935259.6406
2025-07-09,-24994940193.94508,263591090572.80652,36215806064740.36,0.0,0.0,500000000000.0,1284193935259.6406
2025-07-10,-22277526892.47896,241313563680.32758,36215806064740.36,0.0,0.0,500000000000.0,1284193935259.6406
2025-07-11,-21137962824.04739,220175600856.28018,36215806064740.36,0.0,0.0,500000000000.0,1284193935259.6406
2025-07-12,-21137962824.04739,199037638032.2328,36215806064740.36,0.0,0.0,500000000000.0,1284193935259.6406
2025-07-13,-21137962824.04739,177899675208.1854,36215806064740.36,0.0,0.0,500000000000.0,1284193935259.6406
2025-07-14,22224666876.214558,200124342084.39996,36215806064740.36,0.0,0.0,500000000000.0,1284193935259.6406
2025-07-15,-19567345238.995686,180556996845.40427,36215806064740.36,0.0,0.0,500000000000.0,1284193935259.6406
2025-07-16,-24994940193.94508,155562056651.4592,36215806064740.36,0.0,0.0,500000000000.0,1284193935259.6406
2025-07-17,-22277526892.47896,133284529758.98024,36215806064740.36,0.0,0.0,500000000000.0,1284193935259.6406
2025-07-18,-21137962824.04739,112146566934.93285,36215806064740.36,0.0,0.0,500000000000.0,1284193935259.6406
2025-07-19,-21137962824.04739,91008604110.88545,36215806064740.36,0.0,0.0,500000000000.0,1284193935259.6406
2025-07-20,-21137962824.04739,69870641286.83806,36215806064740.36,0.0,0.0,500000000000.0,1284193935259.6406
2025-07-21,22224666876.214558,92095308163.05261,36215806064740.36,0.0,0.0,500000000000.0,1284193935259.6406
2025-07-22,-19567345238.995686,72527962924.05693,36215806064740.36,0.0,0.0,500000000000.0,1284193935259.6406
2025-07-23,-24994940193.94508,50000000000.0,36215806064740.36,0.0,2466977269.888153,497533022730.1118,1281726957989.7524
2025-07-24,-22277526892.47896,50000000000.0,36215806064740.36,0.0,22277526892.47896,475255495837.6329,1259449431097.2734
2025-07-25,-21137962824.04739,50000000000.0,36215806064740.36,0.0,21137962824.04739,454117533013.5855,1238311468273.226
2025-07-26,-21137962824.04739,50000000000.0,36215806064740.36,0.0,21137962824.04739,432979570189.53815,1217173505449.1787
2025-07-27,-21137962824.04739,50000000000.0,36215806064740.36,0.0,21137962824.04739,411841607365.4908,1196035542625.1313
2025-07-28,22224666876.214558,72224666876.21455,36215806064740.36,0.0,0.0,411841607365.4908,1196035542625.1313
2025-07-29,-19567345238.995686,52657321637.21887,36215806064740.36,0.0,0.0,411841607365.4908,1196035542625.1313
2025-07-30,-24994940193.94508,50000000000.0,36215806064740.36,0.0,22337618556.726208,389503988808.7646,1173697924068.4053
2025-07-31,-17436202801.534145,50000000000.0,36215806064740.36,0.0,17436202801.534145,372067786007.23047,1156261721266.871
2025-08-01,-20155295882.582893,50000000000.0,36215806064740.36,0.0,20155295882.582893,351912490124.6476,1136106425384.288
2025-08-02,-20155295882.582893,50000000000.0,36215806064740.36,0.0,20155295882.582893,331757194242.0647,1115951129501.7053
2025-08-03,-20155295882.582893,50000000000.0,36215806064740.36,0.0,20155295882.582893,311601898359.4818,1095795833619.1224
2025-08-04,21322916845.168797,71322916845.1688,36215806064740.36,0.0,0.0,311601898359.4818,1095795833619.1224
2025-08-05,-19279607738.99569,52043309106.1731,36215806064740.36,0.0,0.0,311601898359.4818,1095795833619.1224
2025-08-06,-23755271284.63136,50000000000.0,36215806064740.36,0.0,21711962178.458256,289889936181.02356,1074083871440.6642
2025-08-07,-21421092451.014458,50000000000.0,36215806064740.36,0.0,21421092451.014458,268468843730.0091,1052662778989.6497
2025-08-08,-20155295882.582893,50000000000.0,36215806064740.36,0.0,20155295882.582893,248313547847.4262,1032507483107.0669
2025-08-09,-20155295882.582893,50000000000.0,36215806064740.36,0.0,20155295882.582893,228158251964.84332,1012352187224.4839
2025-08-10,-20155295882.582893,50000000000.0,36215806064740.36,0.0,20155295882.582893,208002956082.26044,992196891341.9011
2025-08-11,21322916845.168797,71322916845.1688,36215806064740.36,0.0,0.0,208002956082.26044,992196891341.9011
2025-08-12,-19279607738.99569,52043309106.1731,36215806064740.36,0.0,0.0,208002956082.26044,992196891341.9011
2025-08-13,-23755271284.63136,50000000000.0,36215806064740.36,0.0,21711962178.458256,186290993903.8022,970484929163.4429
2025-08-14,-21421092451.014458,50000000000.0,36215806064740.36,0.0,21421092451.014458,164869901452.78772,949063836712.4283
2025-08-15,-20155295882.582893,50000000000.0,36215806064740.36,0.0,20155295882.582893,144714605570.20483,928908540829.8455
2025-08-16,-20155295882.582893,50000000000.0,36215806064740.36,0.0,20155295882.582893,124559309687.62195,908753244947.2626
2025-08-17,-20155295882.582893,50000000000.0,36215806064740.36,0.0,20155295882.582893,104404013805.03906,888597949064.6797
