,ARIMA,RandomForest,Ensemble
2025-09-16,-3432.9321009642854,-31724.929239676032,-17578.93067032016
2025-09-17,-3432.932101007032,-47440.684675695964,-25436.8083883515
2025-09-18,-3432.9321009796618,-44866.44828186845,-24149.690191424055
2025-09-19,-3432.932100997187,-42991.49542472559,-23212.21376286139
2025-09-22,-3432.932100985966,-8408.038333274937,-5920.485217130452
2025-09-23,-3432.9321009931505,-31724.929239676032,-17578.93067033459
2025-09-24,-3432.9321009885502,-47440.684675695964,-25436.80838834226
2025-09-25,-3432.9321009914956,-44866.44828186845,-24149.69019142997
2025-09-26,-3432.93210098961,-42991.49542472559,-23212.2137628576
2025-09-29,-3432.9321009908176,-8408.038333274937,-5920.485217132878
2025-09-30,-3432.9321009900445,-35973.495700714986,-19703.213900852516
2025-10-01,-3432.9321009905398,-41040.60342118035,-22236.767761085444
2025-10-02,-3432.932100990223,-37803.20918193707,-20618.070641463644
2025-10-03,-3432.9321009904256,-35591.519658127545,-19512.225879558984
2025-10-06,-3432.9321009902956,7111.205841545359,1839.136870277532
2025-10-07,-3432.932100990379,-27939.395027559713,-15686.163564275046
2025-10-08,-3432.9321009903256,-41040.60342118035,-22236.76776108534
2025-10-09,-3432.9321009903597,-37803.20918193707,-20618.070641463713
2025-10-10,-3432.932100990338,-35591.519658127545,-19512.22587955894
2025-10-13,-3432.932100990352,7111.205841545359,1839.1368702775037
2025-10-14,-3432.932100990343,-27939.395027559713,-15686.163564275028
2025-10-15,-3432.9321009903488,-41040.60342118035,-22236.76776108535
2025-10-16,-3432.932100990345,-37803.20918193707,-20618.070641463706
2025-10-17,-3432.9321009903474,-35591.519658127545,-19512.225879558948
2025-10-20,-3432.932100990346,7111.205841545359,1839.1368702775067
2025-10-21,-3432.932100990347,-27939.395027559713,-15686.16356427503
2025-10-22,-3432.9321009903465,-41040.60342118035,-22236.767761085346
2025-10-23,-3432.932100990347,-37803.20918193707,-20618.07064146371
2025-10-24,-3432.9321009903465,-35591.519658127545,-19512.225879558944
2025-10-27,-3432.9321009903465,7111.205841545359,1839.1368702775064
2025-10-28,-3432.9321009903465,-27939.395027559713,-15686.16356427503
2025-10-29,-3432.9321009903465,-41040.60342118035,-22236.767761085346
2025-10-30,-3432.9321009903465,-37803.20918193707,-20618.070641463706
2025-10-31,-3432.9321009903465,-42223.33934243831,-22828.135721714327
2025-11-03,-3432.9321009903465,7121.320008212024,1844.1939536108387
2025-11-04,-3432.9321009903465,-27372.97502755971,-15402.953564275029
2025-11-05,-3432.9321009903465,-42164.52508784701,-22798.728594418677
2025-11-06,-3432.9321009903465,-34315.19515295156,-18874.06362697095
2025-11-07,-3432.9321009903465,-32544.87312914203,-17988.90261506619
2025-11-10,-3432.9321009903465,7121.320008212024,1844.1939536108387
2025-11-11,-3432.9321009903465,-27372.97502755971,-15402.953564275029
2025-11-12,-3432.9321009903465,-42164.52508784701,-22798.728594418677
2025-11-13,-3432.9321009903465,-34315.19515295156,-18874.06362697095
2025-11-14,-3432.9321009903465,-32544.87312914203,-17988.90261506619
2025-11-17,-3432.9321009903465,7121.320008212024,1844.1939536108387
2025-11-18,-3432.9321009903465,-27372.97502755971,-15402.953564275029
2025-11-19,-3432.9321009903465,-42164.52508784701,-22798.728594418677
2025-11-20,-3432.9321009903465,-34315.19515295156,-18874.06362697095
2025-11-21,-3432.9321009903465,-32544.87312914203,-17988.90261506619
2025-11-24,-3432.9321009903465,7121.320008212024,1844.1939536108387
2025-11-25,-3432.9321009903465,-27372.97502755971,-15402.953564275029
2025-11-26,-3432.9321009903465,-42164.52508784701,-22798.728594418677
2025-11-27,-3432.9321009903465,-34315.19515295156,-18874.06362697095
2025-11-28,-3432.9321009903465,-40843.389342438306,-22138.160721714325
2025-12-01,-3432.9321009903465,9391.895008212025,2979.481453610839
2025-12-02,-3432.9321009903465,-23450.794267191042,-13441.863184090695
2025-12-03,-3432.9321009903465,-39292.35432747835,-21362.643214234347
2025-12-04,-3432.9321009903465,-33690.7513925829,-18561.84174678662
2025-12-05,-3432.9321009903465,-31290.929368773373,-17361.93073488186
2025-12-08,-3432.9321009903465,9391.895008212025,2979.481453610839
2025-12-09,-3432.9321009903465,-23450.794267191042,-13441.863184090695
2025-12-10,-3432.9321009903465,-39292.35432747835,-21362.643214234347
2025-12-11,-3432.9321009903465,-33690.7513925829,-18561.84174678662
