,ARIMA,RandomForest,Ensemble
2025-06-27,,2768.3655328102845,2768.3655328102845
2025-06-28,,1648.4992828102859,1648.4992828102859
2025-06-29,,-827.5317466014799,-827.5317466014799
2025-06-30,,29248.804545565545,29248.804545565545
2025-07-01,,-146126.5057142857,-146126.5057142857
2025-07-02,,-15360.786036410916,-15360.786036410916
2025-07-03,,-6781.996479383308,-6781.996479383308
2025-07-04,,-3623.252832429903,-3623.252832429903
2025-07-05,,555.6958978365628,555.6958978365628
2025-07-06,,555.6958978365628,555.6958978365628
2025-07-07,,30119.836069375066,30119.836069375066
2025-07-08,,-7968.531378785177,-7968.531378785177
2025-07-09,,-23246.10467124298,-23246.10467124298
2025-07-10,,-427.3341021634367,-427.3341021634367
2025-07-11,,1548.1458978365629,1548.1458978365629
2025-07-12,,1548.1458978365629,1548.1458978365629
2025-07-13,,2334.7929907436564,2334.7929907436564
2025-07-14,,30101.80321223221,30101.80321223221
2025-07-15,,-6488.666846317647,-6488.666846317647
2025-07-16,,-19171.820578335886,-19171.820578335886
2025-07-17,,1255.2256464213121,1255.2256464213121
2025-07-18,,2387.9656464213126,2387.9656464213126
2025-07-19,,2387.9656464213126,2387.9656464213126
2025-07-20,,2387.9656464213126,2387.9656464213126
2025-07-21,,29451.55321223221,29451.55321223221
2025-07-22,,-5335.72223093303,-5335.72223093303
2025-07-23,,-18784.166551186565,-18784.166551186565
2025-07-24,,4694.229979754646,4694.229979754646
2025-07-25,,4284.876133600799,4284.876133600799
2025-07-26,,4284.876133600799,4284.876133600799
2025-07-27,,2053.965532810285,2053.965532810285
2025-07-28,,29294.064545565547,29294.064545565547
2025-07-29,,-6158.165870185082,-6158.165870185082
2025-07-30,,-13422.180220618962,-13422.180220618962
2025-07-31,,-366.05949196098516,-366.05949196098516
2025-08-01,,-171989.74,-171989.74
2025-08-02,,-11294.13518068201,-11294.13518068201
2025-08-03,,-5649.256479383308,-5649.256479383308
2025-08-04,,27967.92010966811,27967.92010966811
2025-08-05,,-8268.93948134928,-8268.93948134928
2025-08-06,,-10620.251355269476,-10620.251355269476
2025-08-07,,-1120.9041021634364,-1120.9041021634364
2025-08-08,,359.4158978365628,359.4158978365628
2025-08-09,,359.4158978365628,359.4158978365628
2025-08-10,,1249.265897836563,1249.265897836563
2025-08-11,,30560.790355089353,30560.790355089353
2025-08-12,,-5661.293664499464,-5661.293664499464
2025-08-13,,-19722.685578335884,-19722.685578335884
2025-08-14,,2100.7579907436566,2100.7579907436566
2025-08-15,,101.62564642131271,101.62564642131271
2025-08-16,,2387.9656464213126,2387.9656464213126
2025-08-17,,2387.9656464213126,2387.9656464213126
2025-08-18,,29313.680355089353,29313.680355089353
2025-08-19,,-5335.72223093303,-5335.72223093303
2025-08-20,,-18909.15596295127,-18909.15596295127
2025-08-21,,1255.2256464213121,1255.2256464213121
2025-08-22,,2387.9656464213126,2387.9656464213126
2025-08-23,,4487.653979754646,4487.653979754646
2025-08-24,,5826.969979754645,5826.969979754645
2025-08-25,,29318.101688422685,29318.101688422685
2025-08-26,,-3351.28623093303,-3351.28623093303
2025-08-27,,-20572.734998130927,-20572.734998130927
2025-08-28,,-198.64071718971442,-198.64071718971442
2025-08-29,,-2633.771746601481,-2633.771746601481
2025-08-30,,-4490.829802157036,-4490.829802157036
2025-08-31,,766.6805080390167,766.6805080390167
2025-09-01,,-36062.171428571426,-36062.171428571426
2025-09-02,,-10263.067406080465,-10263.067406080465
2025-09-03,,-15649.682036410917,-15649.682036410917
2025-09-04,,-6236.986165763234,-6236.986165763234
2025-09-05,,-506.38910216343686,-506.38910216343686
2025-09-06,,-506.38910216343686,-506.38910216343686
2025-09-07,,-506.38910216343686,-506.38910216343686
2025-09-08,,30143.87321223221,30143.87321223221
2025-09-09,,-8655.256378785178,-8655.256378785178
2025-09-10,,-23454.85467124298,-23454.85467124298
2025-09-11,,-1227.0541021634374,-1227.0541021634374
2025-09-12,,74.18589783656324,74.18589783656324
2025-09-13,,860.8329907436563,860.8329907436563
2025-09-14,,1759.5379907436563,1759.5379907436563
2025-09-15,,27177.480355089352,27177.480355089352
2025-09-16,,-5300.926846317647,-5300.926846317647
2025-09-17,,-20270.420578335885,-20270.420578335885
2025-09-18,,156.62564642131153,156.62564642131153
2025-09-19,,914.0056464213121,914.0056464213121
2025-09-20,,914.0056464213121,914.0056464213121
2025-09-21,,914.0056464213121,914.0056464213121
2025-09-22,,29475.590355089353,29475.590355089353
2025-09-23,,-6434.32223093303,-6434.32223093303
2025-09-24,,-17898.330551186566,-17898.330551186566
2025-09-25,,2053.5361336007986,2053.5361336007986
2025-09-26,,2810.9161336007987,2810.9161336007987
2025-09-27,,580.0055328102856,580.0055328102856
2025-09-28,,-539.8607171897147,-539.8607171897147
2025-09-29,,29318.101688422685,29318.101688422685
2025-09-30,,-7256.765870185082,-7256.765870185082
2025-10-01,,-159755.62,-159755.62
2025-10-02,,-13976.73518068201,-13976.73518068201
2025-10-03,,-7735.943146049973,-7735.943146049973
2025-10-04,,-4397.807514736844,-4397.807514736844
2025-10-05,,31.549548862956144,31.549548862956144
2025-10-06,,30027.953212232213,30027.953212232213
2025-10-07,,-7921.037727758784,-7921.037727758784
2025-10-08,,-20929.442815088383,-20929.442815088383
2025-10-09,,-1465.9704511370444,-1465.9704511370444
2025-10-10,,313.24454886295615,313.24454886295615
2025-10-11,,612.1245488629561,612.1245488629561
2025-10-12,,612.1245488629561,612.1245488629561
2025-10-13,,30156.240355089354,30156.240355089354
2025-10-14,,-4415.148195291253,-4415.148195291253
