date,daily_cash_flow,cash_balance,outstanding_debt,new_debt_issued,unconventional_used,unconventional_remaining,debt_headroom
2025-06-27,-44698817233.59486,455301182766.40515,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-06-28,-50352750358.59486,404948432407.8103,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-06-29,117950234126.69928,522898666534.5096,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-06-30,132988402272.78278,655887068807.2924,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-07-01,-101782252857.14285,554104815950.1495,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-07-02,-36399393018.20546,517705422931.9441,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-07-03,6838001760.308347,524543424692.25244,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-07-04,-47708626416.21495,476834798276.0375,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-07-05,-26623152051.08172,450211646224.95575,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-07-06,-26623152051.08172,423588494173.874,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-07-07,-11841081965.312464,411747412208.5616,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-07-08,18039734310.60741,429787146519.169,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-07-09,10400947664.378513,440188094183.54755,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-07-10,7923332948.918282,448111427132.4658,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-07-11,-49053927051.081726,399057500081.3841,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-07-12,18952072948.91828,418009573030.30237,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-07-13,7264396495.371828,425273969525.6742,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-07-14,21147901606.116104,446421871131.7903,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-07-15,56901666576.84119,503323537708.6315,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-07-16,50560089710.83206,553883627419.4635,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-07-17,61603612823.210655,615487240242.6742,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-07-18,-55296017176.78934,560191223065.8849,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-07-19,19194982823.210655,579386205889.0956,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-07-20,-7868017176.789345,571518188712.3063,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-07-21,5663776606.116105,577181965318.4224,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-07-22,-5603861115.466514,571578104202.9558,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-07-23,-12328083275.59328,559250020927.3625,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-07-24,49716114989.87732,608966135917.2399,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-07-25,-49947561933.1996,559018573984.0403,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-07-26,3085438066.8003993,562104012050.8407,36215806064740.36,0,0,704193935259.6406,704193935259.6406
