date,daily_cash_flow,cash_balance,outstanding_debt,new_debt_issued,unconventional_used,unconventional_remaining,debt_headroom
2025-06-27,-21317993657.380722,478682006342.61926,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-06-28,-21317993657.380722,457364012685.2385,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-06-29,-21317993657.380722,436046019027.8578,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-06-30,-19863609100.763275,416182409927.0945,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-07-01,-19567345238.995686,396615064688.0988,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-07-02,-24994940193.94508,371620124494.15375,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-07-03,-22277526892.47896,349342597601.6748,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-07-04,-21137962824.04739,328204634777.62744,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-07-05,-21137962824.04739,307066671953.5801,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-07-06,-21137962824.04739,285928709129.5327,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-07-07,22224666876.214558,308153376005.74725,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-07-08,-19567345238.995686,288586030766.7516,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-07-09,-24994940193.94508,263591090572.80652,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-07-10,-22277526892.47896,241313563680.32758,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-07-11,-21137962824.04739,220175600856.28018,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-07-12,-21137962824.04739,199037638032.2328,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-07-13,-21137962824.04739,177899675208.1854,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-07-14,22224666876.214558,200124342084.39996,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-07-15,-19567345238.995686,180556996845.40427,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-07-16,-24994940193.94508,155562056651.4592,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-07-17,-22277526892.47896,133284529758.98024,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-07-18,-21137962824.04739,112146566934.93285,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-07-19,-21137962824.04739,91008604110.88545,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-07-20,-21137962824.04739,69870641286.83806,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-07-21,22224666876.214558,92095308163.05261,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-07-22,-19567345238.995686,72527962924.05693,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-07-23,-24994940193.94508,50000000000.0,36215806064740.36,0,2466977269.888153,817533022730.1118,701726957989.7524
2025-07-24,-22277526892.47896,50000000000.0,36215806064740.36,0,22277526892.47896,795255495837.6328,679449431097.2734
2025-07-25,-21137962824.04739,50000000000.0,36215806064740.36,0,21137962824.04739,774117533013.5854,658311468273.2261
2025-07-26,-21137962824.04739,50000000000.0,36215806064740.36,0,21137962824.04739,752979570189.5381,637173505449.1787
2025-07-27,-21137962824.04739,50000000000.0,36215806064740.36,0,21137962824.04739,731841607365.4907,616035542625.1313
2025-07-28,22224666876.214558,72224666876.21455,36215806064740.36,0,0.0,731841607365.4907,616035542625.1313
2025-07-29,-19567345238.995686,52657321637.21887,36215806064740.36,0,0.0,731841607365.4907,616035542625.1313
2025-07-30,-24994940193.94508,50000000000.0,36215806064740.36,0,22337618556.726208,709503988808.7645,593697924068.4052
2025-07-31,-17436202801.534145,50000000000.0,36215806064740.36,0,17436202801.534145,692067786007.2303,576261721266.871
2025-08-01,-20155295882.582893,50000000000.0,36215806064740.36,0,20155295882.582893,671912490124.6475,556106425384.2881
2025-08-02,-20155295882.582893,50000000000.0,36215806064740.36,0,20155295882.582893,651757194242.0646,535951129501.7052
2025-08-03,-20155295882.582893,50000000000.0,36215806064740.36,0,20155295882.582893,631601898359.4817,515795833619.1223
2025-08-04,21322916845.168797,71322916845.1688,36215806064740.36,0,0.0,631601898359.4817,515795833619.1223
2025-08-05,-19279607738.99569,52043309106.1731,36215806064740.36,0,0.0,631601898359.4817,515795833619.1223
2025-08-06,-23755271284.63136,50000000000.0,36215806064740.36,0,21711962178.458256,609889936181.0234,494083871440.66406
2025-08-07,-21421092451.014458,50000000000.0,36215806064740.36,0,21421092451.014458,588468843730.009,472662778989.64966
2025-08-08,-20155295882.582893,50000000000.0,36215806064740.36,0,20155295882.582893,568313547847.4261,452507483107.0668
2025-08-09,-20155295882.582893,50000000000.0,36215806064740.36,0,20155295882.582893,548158251964.84326,432352187224.4839
2025-08-10,-20155295882.582893,50000000000.0,36215806064740.36,0,20155295882.582893,528002956082.2604,412196891341.901
2025-08-11,21322916845.168797,71322916845.1688,36215806064740.36,0,0.0,528002956082.2604,412196891341.901
2025-08-12,-19279607738.99569,52043309106.1731,36215806064740.36,0,0.0,528002956082.2604,412196891341.901
2025-08-13,-23755271284.63136,50000000000.0,36215806064740.36,0,21711962178.458256,506290993903.8021,390484929163.44275
2025-08-14,-21421092451.014458,50000000000.0,36215806064740.36,0,21421092451.014458,484869901452.78766,369063836712.4283
2025-08-15,-20155295882.582893,50000000000.0,36215806064740.36,0,20155295882.582893,464714605570.2048,348908540829.8454
2025-08-16,-20155295882.582893,50000000000.0,36215806064740.36,0,20155295882.582893,444559309687.6219,328753244947.2625
2025-08-17,-20155295882.582893,50000000000.0,36215806064740.36,0,20155295882.582893,424404013805.039,308597949064.6796
2025-08-18,21322916845.168797,71322916845.1688,36215806064740.36,0,0.0,424404013805.039,308597949064.6796
2025-08-19,-19279607738.99569,52043309106.1731,36215806064740.36,0,0.0,424404013805.039,308597949064.6796
2025-08-20,-23755271284.63136,50000000000.0,36215806064740.36,0,21711962178.458256,402692051626.58075,286885986886.2214
2025-08-21,-21421092451.014458,50000000000.0,36215806064740.36,0,21421092451.014458,381270959175.5663,265464894435.2069
2025-08-22,-20155295882.582893,50000000000.0,36215806064740.36,0,20155295882.582893,361115663292.9834,245309598552.62402
2025-08-23,-20155295882.582893,50000000000.0,36215806064740.36,0,20155295882.582893,340960367410.4005,225154302670.04114
2025-08-24,-20155295882.582893,50000000000.0,36215806064740.36,0,20155295882.582893,320805071527.8176,204999006787.45825
2025-08-25,21322916845.168797,71322916845.1688,36215806064740.36,0,0.0,320805071527.8176,204999006787.45825
2025-08-26,-19279607738.99569,52043309106.1731,36215806064740.36,0,0.0,320805071527.8176,204999006787.45825
2025-08-27,-23755271284.63136,50000000000.0,36215806064740.36,0,21711962178.458256,299093109349.3594,183287044609.0
2025-08-28,-21421092451.014458,50000000000.0,36215806064740.36,0,21421092451.014458,277672016898.3449,161865952157.98553
2025-08-29,-20155295882.582893,50000000000.0,36215806064740.36,0,20155295882.582893,257516721015.76202,141710656275.40265
2025-08-30,-20155295882.582893,50000000000.0,36215806064740.36,0,20155295882.582893,237361425133.17914,121555360392.81976
2025-08-31,-15313971791.638077,50000000000.0,36215806064740.36,0,15313971791.638077,222047453341.54108,106241388601.1817
2025-09-01,24507402955.219486,74507402955.21948,36215806064740.36,0,0.0,222047453341.54108,106241388601.1817
2025-09-02,-21754193308.199238,52753209647.02025,36215806064740.36,0,0.0,222047453341.54108,106241388601.1817
2025-09-03,-32647333209.90176,50000000000.0,36215806064740.36,0,29894123562.88151,192153329778.65958,76347265038.3002
2025-09-04,-31247272115.82602,50000000000.0,36215806064740.36,0,31247272115.82602,160906057662.83356,45099992922.47418
2025-09-05,-32041329638.303543,50000000000.0,36215806064740.36,0,32041329638.303543,128864728024.53001,13058663284.170639
2025-09-06,-32041329638.303543,50000000000.0,36215806064740.36,0,32041329638.303543,96823398386.22647,-18982666354.132904
