date,daily_cash_flow,cash_balance,outstanding_debt,new_debt_issued,unconventional_used,unconventional_remaining,debt_headroom
2025-06-27,2768365532.8102846,502768365532.8103,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-06-28,1648499282.810286,504416864815.6206,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-06-29,-827531746.6014799,503589333069.0191,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-06-30,29248804545.565544,532838137614.58466,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-07-01,-146126505714.2857,386711631900.29895,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-07-02,-15360786036.410917,371350845863.88806,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-07-03,-6781996479.383307,364568849384.50476,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-07-04,-3623252832.429903,360945596552.0748,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-07-05,555695897.8365629,361501292449.9114,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-07-06,555695897.8365629,362056988347.7479,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-07-07,30119836069.375065,392176824417.123,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-07-08,-7968531378.785177,384208293038.3378,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-07-09,-23246104671.24298,360962188367.09485,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-07-10,-427334102.1634367,360534854264.9314,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-07-11,1548145897.8365629,362083000162.76794,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-07-12,1548145897.8365629,363631146060.6045,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-07-13,2334792990.7436566,365965939051.34814,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-07-14,30101803212.232212,396067742263.5804,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-07-15,-6488666846.317647,389579075417.26276,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-07-16,-19171820578.335888,370407254838.9269,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-07-17,1255225646.4213119,371662480485.3482,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-07-18,2387965646.421313,374050446131.76953,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-07-19,2387965646.421313,376438411778.19086,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-07-20,2387965646.421313,378826377424.6122,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-07-21,29451553212.232212,408277930636.8444,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-07-22,-5335722230.93303,402942208405.9114,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-07-23,-18784166551.186565,384158041854.7248,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-07-24,4694229979.754645,388852271834.47943,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-07-25,4284876133.600799,393137147968.0802,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-07-26,4284876133.600799,397422024101.68097,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-07-27,2053965532.8102849,399475989634.4913,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-07-28,29294064545.565548,428770054180.0568,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-07-29,-6158165870.185082,422611888309.87177,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-07-30,-13422180220.618961,409189708089.2528,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
2025-07-31,-366059491.9609852,408823648597.2918,36215806064740.36,0,0.0,820000000000.0,704193935259.6406
