,Simulated,ARIMA,Ensemble
2025-08-06,-7272.16233037928,-2206.276550895007,-4739.219440637144
2025-08-07,-45569.89835760669,-2206.276550895007,-23888.087454250846
2025-08-08,-15583.793809812698,-2206.276550895007,-8895.035180353852
2025-08-09,-66217.36876514164,-2206.276550895007,-34211.822658018325
2025-08-10,-62784.867390672305,-2206.276550895007,-32495.571970783654
2025-08-11,12200.90846777461,-2206.276550895007,4997.315958439802
2025-08-12,21174.429302798944,-2206.276550895007,9484.076375951969
2025-08-13,-12861.006953851036,-2206.276550895007,-7533.6417523730215
2025-08-14,-14653.625496042005,-2206.276550895007,-8429.951023468506
2025-08-15,-21347.154207120395,-2206.276550895007,-11776.7153790077
2025-08-16,-53756.611958349764,-2206.276550895007,-27981.444254622387
2025-08-17,-41105.931293443224,-2206.276550895007,-21656.103922169117
2025-08-18,-684.3947440756765,-2206.276550895007,-1445.3356474853417
2025-08-19,26706.69763048057,-2206.276550895007,12250.21053979278
2025-08-20,-6120.971392682211,-2206.276550895007,-4163.623971788609
2025-08-21,-61212.52330975747,-2206.276550895007,-31709.39993032624
2025-08-22,-16877.330905637144,-2206.276550895007,-9541.803728266075
2025-08-23,-20169.413220903265,-2206.276550895007,-11187.844885899136
2025-08-24,-29763.295178612538,-2206.276550895007,-15984.785864753772
2025-08-25,34341.68162043176,-2206.276550895007,16067.702534768376
2025-08-26,36444.86165584082,-2206.276550895007,17119.292552472907
2025-08-27,14131.333068996899,-2206.276550895007,5962.528259050946
2025-08-28,-27892.59012928376,-2206.276550895007,-15049.433340089383
2025-08-29,-25556.568687032734,-2206.276550895007,-13881.42261896387
2025-08-30,-1647.4398829793008,-2206.276550895007,-1926.8582169371539
2025-08-31,24525.27462690734,-2206.276550895007,11159.499038006166
2025-09-01,24884.93503104611,-2206.276550895007,11339.32924007555
2025-09-02,4154.441348335269,-2206.276550895007,974.0823987201311
2025-09-03,-49219.2103470931,-2206.276550895007,-25712.743448994057
2025-09-04,-50999.487371219875,-2206.276550895007,-26602.881961057443
2025-09-05,7017.315854307257,-2206.276550895007,2405.519651706125
2025-09-06,44777.17827665574,-2206.276550895007,21285.450862880367
2025-09-07,13986.12087356379,-2206.276550895007,5889.922161334392
2025-09-08,65448.94227191195,-2206.276550895007,31621.332860508468
2025-09-09,32464.080479069802,-2206.276550895007,15128.901964087398
2025-09-10,-27124.37558701934,-2206.276550895007,-14665.326068957174
2025-09-11,1563.373748272792,-2206.276550895007,-321.4514013111075
2025-09-12,44182.1957868235,-2206.276550895007,20987.959617964247
2025-09-13,14875.295205135742,-2206.276550895007,6334.509327120368
2025-09-14,53281.19785114888,-2206.276550895007,25537.460650126937
2025-09-15,-29612.351625730327,-2206.276550895007,-15909.314088312667
2025-09-16,17519.656973113324,-2206.276550895007,7656.690211109159
2025-09-17,-10015.39318967921,-2206.276550895007,-6110.834870287108
2025-09-18,-12778.5235828693,-2206.276550895007,-7492.400066882154
2025-09-19,-2770.3659017497753,-2206.276550895007,-2488.3212263223913
2025-09-20,-56766.69693950185,-2206.276550895007,-29486.486745198432
2025-09-21,-20830.18916341834,-2206.276550895007,-11518.232857156674
2025-09-22,35942.50514518717,-2206.276550895007,16868.11429714608
2025-09-23,56532.01334914466,-2206.276550895007,27162.868399124825
2025-09-24,-16161.80119417705,-2206.276550895007,-9184.038872536028
2025-09-25,-29646.50241799183,-2206.276550895007,-15926.389484443418
2025-09-26,-25332.9080470645,-2206.276550895007,-13769.592298979753
2025-09-27,22073.89518796293,-2206.276550895007,9933.809318533962
2025-09-28,18995.690044182622,-2206.276550895007,8394.706746643807
2025-09-29,21737.07884110287,-2206.276550895007,9765.401145103931
2025-09-30,23824.23371226499,-2206.276550895007,10808.978580684992
2025-10-01,-8196.063412592619,-2206.276550895007,-5201.169981743813
2025-10-02,24782.51766158017,-2206.276550895007,11288.12055534258
2025-10-03,-15279.477506612246,-2206.276550895007,-8742.877028753626
2025-10-04,-11936.599783687876,-2206.276550895007,-7071.4381672914415
2025-10-05,-12834.150065941849,-2206.276550895007,-7520.213308418428
2025-10-06,-15716.855424391488,-2206.276550895007,-8961.565987643247
2025-10-07,5815.838613902454,-2206.276550895007,1804.7810315037236
2025-10-08,-8762.176691222689,-2206.276550895007,-5484.226621058848
2025-10-09,-3801.17421045496,-2206.276550895007,-3003.725380674983
2025-10-10,-10068.307608255098,-2206.276550895007,-6137.292079575052
2025-10-11,-42449.08991757165,-2206.276550895007,-22327.68323423333
2025-10-12,-22828.758622252666,-2206.276550895007,-12517.517586573837
2025-10-13,14337.881805146322,-2206.276550895007,6065.802627125658
2025-10-14,-17558.798624414052,-2206.276550895007,-9882.53758765453
2025-10-15,-28228.709154416618,-2206.276550895007,-15217.492852655812
2025-10-16,2124.2353450998107,-2206.276550895007,-41.02060289759811
2025-10-17,54251.64056067469,-2206.276550895007,26022.682004889844
2025-10-18,23735.19879234741,-2206.276550895007,10764.461120726202
2025-10-19,17027.22869936174,-2206.276550895007,7410.476074233367
2025-10-20,34206.62264474724,-2206.276550895007,16000.173046926118
2025-10-21,-44522.897852848546,-2206.276550895007,-23364.58720187178
2025-10-22,-32342.81566099932,-2206.276550895007,-17274.546105947164
2025-10-23,-9248.572105606494,-2206.276550895007,-5727.4243282507505
2025-10-24,67857.8937540784,-2206.276550895007,32825.80860159169
2025-10-25,16996.745265323334,-2206.276550895007,7395.2343572141635
2025-10-26,16303.86333576712,-2206.276550895007,7048.793392436057
2025-10-27,35162.07353720371,-2206.276550895007,16477.898493154353
2025-10-28,-22115.304690857087,-2206.276550895007,-12160.790620876047
2025-10-29,8863.916995569329,-2206.276550895007,3328.820222337161
2025-10-30,23512.47323360391,-2206.276550895007,10653.09834135445
