,Simulated,ARIMA,Ensemble
2025-07-03,11525.730080929894,109.19759762135072,5817.463839275622
2025-07-04,-3931.2763652802737,-2299.896834879446,-3115.5866000798596
2025-07-05,18930.063702257467,-2202.4912537976743,8363.786224229896
2025-07-06,51602.392967762746,-2206.4295997163226,24697.981684023212
2025-07-07,38567.09515233436,-2206.27036275677,18180.412394788797
2025-07-08,5162.829165781919,-2206.2768010965733,1478.2761823426729
2025-07-09,28613.50248765927,-2206.2765407787456,13203.612973440262
2025-07-10,28591.492457297256,-2206.276551304032,13192.607952996612
2025-07-11,-8578.237504944876,-2206.276550878469,-5392.257027911673
2025-07-12,14436.434643738608,-2206.276550895676,6115.079046421466
2025-07-13,-8325.360682723269,-2206.27655089498,-5265.818616809124
2025-07-14,13760.278531608052,-2206.2765508950083,5777.0009903565215
2025-07-15,11761.656829303689,-2206.276550895007,4777.690139204341
2025-07-16,-72399.81651171768,-2206.276550895007,-37303.04653130635
2025-07-17,-75211.31379400683,-2206.276550895007,-38708.79517245092
2025-07-18,-42455.440224239384,-2206.276550895007,-22330.858387567197
2025-07-19,-41594.53250722417,-2206.276550895007,-21900.40452905959
2025-07-20,-2200.5987735676863,-2206.276550895007,-2203.4376622313466
2025-07-21,2555.1416036787778,-2206.276550895007,174.4325263918854
2025-07-22,-40383.51003040101,-2206.276550895007,-21294.89329064801
2025-07-23,11601.995468197718,-2206.276550895007,4697.859458651355
2025-07-24,-5800.366265646164,-2206.276550895007,-4003.3214082705854
2025-07-25,-3058.1815047295786,-2206.276550895007,-2632.2290278122928
2025-07-26,-41922.094702084956,-2206.276550895007,-22064.185626489983
2025-07-27,-27619.179360197508,-2206.276550895007,-14912.727955546257
2025-07-28,24979.018284389917,-2206.276550895007,11386.370866747455
2025-07-29,-25949.607958859124,-2206.276550895007,-14077.942254877065
2025-07-30,-16209.796198459093,-2206.276550895007,-9208.036374677049
2025-07-31,-25197.900669767285,-2206.276550895007,-13702.088610331146
2025-08-01,-24234.337331203347,-2206.276550895007,-13220.306941049177
2025-08-02,-28766.869606105705,-2206.276550895007,-15486.573078500356
2025-08-03,42241.515359371304,-2206.276550895007,20017.619404238147
2025-08-04,37504.64946136105,-2206.276550895007,17649.186455233023
2025-08-05,-24204.4472864679,-2206.276550895007,-13205.361918681454
