,ARIMA,Seasonal,RandomForest,Ensemble
2024-08-14,,-64144.5,-11460.307132696702,-37802.40356634835
2024-08-15,,-13780.5,6079.967498046449,-3850.2662509767756
2024-08-16,,7889.0,6644.66582904878,7266.83291452439
2024-08-17,,-3824.5,6448.441386935341,1311.9706934676706
2024-08-18,,-3824.5,6448.441386935341,1311.9706934676706
2024-08-19,,10668.0,15583.172720861774,13125.586360430887
2024-08-20,,10668.0,16443.593325772883,13555.796662886441
2024-08-21,,9222.0,-11978.207555977126,-1378.1037779885628
2024-08-22,,-25089.5,6000.246942490893,-9544.626528754554
2024-08-23,,6457.5,6938.946910920127,6698.223455460064
2024-08-24,,10413.5,8050.638700037913,9232.069350018955
2024-08-25,,10413.5,8050.638700037913,9232.069350018955
2024-08-26,,10714.0,13515.349453859766,12114.674726929883
2024-08-27,,10714.0,12735.387705829695,11724.693852914847
2024-08-28,,11788.5,-13264.381604824737,-737.9408024123686
2024-08-29,,931.0,10047.076784849425,5489.038392424713
2024-08-30,,13186.5,1660.7420243484883,7423.621012174244
2024-08-31,,-95416.5,-168.96476819230594,-47792.732384096154
2024-09-01,,-95416.5,-90182.10785714285,-92799.30392857143
2024-09-02,,26730.0,10958.051095880515,18844.02554794026
2024-09-03,,26730.0,12079.900145236068,19404.950072618034
2024-09-04,,26730.0,-3376.8052755538442,11676.597362223078
2024-09-05,,-6629.0,4270.579340091113,-1179.2103299544433
2024-09-06,,14398.0,4510.294708130482,9454.14735406524
2024-09-07,,121.0,5210.984154905929,2665.9920774529646
2024-09-08,,121.0,5210.984154905929,2665.9920774529646
2024-09-09,,16037.5,15138.424461602515,15587.962230801259
2024-09-10,,16037.5,17974.019177624734,17005.75958881237
2024-09-11,,10882.0,-11460.307132696702,-289.153566348351
2024-09-12,,-13591.0,3839.9874892752637,-4875.506255362368
2024-09-13,,34256.0,4590.463361516313,19423.231680758156
2024-09-14,,27166.0,6025.838912187866,16595.919456093932
2024-09-15,,27166.0,6996.835275824226,17081.417637912113
2024-09-16,,31396.5,17145.650498639552,24271.075249319776
2024-09-17,,31396.5,17336.802325772882,24366.65116288644
2024-09-18,,2050.0,-12174.348984548555,-5062.174492274277
2024-09-19,,-13244.0,4834.53360915756,-4204.73319542122
2024-09-20,,10968.5,5399.231940159891,8183.865970079945
2024-09-21,,-8342.0,6917.114720268671,-712.4426398656647
2024-09-22,,-8342.0,6917.114720268671,-712.4426398656647
2024-09-23,,15884.0,14044.507691622006,14964.253845811003
2024-09-24,,15884.0,14509.928296533113,15196.964148266557
2024-09-25,,3432.5,-11604.205918550226,-4085.852959275113
2024-09-26,,-28735.0,6436.730922260138,-11149.13453886993
2024-09-27,,-4241.0,5756.046900321292,757.523450160646
2024-09-28,,-36117.5,6456.736347096739,-14830.38182645163
2024-09-29,,-36117.5,11312.464562627203,-12402.517718686398
2024-09-30,,10523.5,9871.368461462807,10197.434230731404
2024-10-01,,10523.5,-79088.53269565217,-34282.51634782609
2024-10-02,,-1305.0,-6116.23694896815,-3710.618474484075
2024-10-03,,1816.5,-229.3471448270015,793.5764275864992
2024-10-04,,10613.0,4031.988554284328,7322.494277142164
2024-10-05,,774.5,5210.984154905929,2992.7420774529646
2024-10-06,,774.5,5210.984154905929,2992.7420774529646
2024-10-07,,21128.5,14864.12866673072,17996.31433336536
2024-10-08,,21128.5,16527.55438275294,18828.02719137647
2024-10-09,,21128.5,-10060.414942220512,5534.042528889744
2024-10-10,,-15498.0,4350.276822608596,-5573.861588695701
2024-10-11,,-7994.5,4079.7028573146317,-1957.3985713426841
2024-10-12,,2753.5,4780.392304090079,3766.9461520450395
2024-10-13,,2753.5,5291.152808291759,4022.3264041458797
2024-10-14,,56729.0,17039.76166673072,36884.38083336536
2024-10-15,,56729.0,18041.704419789978,37385.35220989499
2024-10-16,,20757.5,-11384.835095659666,4686.332452170167
2024-10-17,,-8196.0,4834.53360915756,-1680.73319542122
2024-10-18,,-6277.0,5399.231940159891,-438.8840299200547
2024-10-19,,-4358.5,6099.921386935341,870.7106934676704
2024-10-20,,-4358.5,6099.921386935341,870.7106934676704
2024-10-21,,7462.5,14039.440925989977,10750.970462994988
2024-10-22,,7462.5,13943.914864234417,10703.207432117208
2024-10-23,,17808.5,-11604.205918550226,3102.147040724887
2024-10-24,,-11332.0,6436.730922260138,-2447.634538869931
2024-10-25,,-6320.0,7001.429253262468,340.71462663123384
2024-10-26,,-3384.5,7702.118700037913,2158.8093500189566
