,ARIMA,Seasonal,RandomForest,Ensemble
2024-06-29,,-77842.0,11312.464562627203,-33264.7677186864
2024-06-30,,-77842.0,2361.4314711239354,-37740.28426443803
2024-07-01,,-5658.0,-76261.37269565217,-40959.686347826086
2024-07-02,,-5658.0,12079.900145236068,3210.950072618034
2024-07-03,,23362.0,-6339.93694896815,8511.031525515926
2024-07-04,,23362.0,4140.7931862449595,13751.39659312248
2024-07-05,,32760.0,4858.814708130481,18809.40735406524
2024-07-06,,-8420.5,5559.50415490593,-1430.4979225470352
2024-07-07,,-8420.5,5559.50415490593,-1430.4979225470352
2024-07-08,,7197.5,15631.500461602516,11414.500230801259
2024-07-09,,7197.5,16226.490177624735,11711.995088812368
2024-07-10,,9470.0,-11128.85779936337,-829.4288996816849
2024-07-11,,-25576.0,4188.507489275264,-10693.746255362368
2024-07-12,,-2030.0,4428.222857314631,1199.1114286573156
2024-07-13,,-1051.5,5639.67280829176,2294.08640414588
2024-07-14,,-1051.5,6374.358912187866,2661.429456093933
2024-07-15,,17982.0,17145.650498639552,17563.825249319776
2024-07-16,,17982.0,18233.716214661774,18107.85810733089
2024-07-17,,11273.0,-12460.588984548554,-593.7944922742772
2024-07-18,,-24239.5,5183.0536091575605,-9528.22319542122
2024-07-19,,-6307.0,5747.751940159891,-279.62402992005445
2024-07-20,,-5094.0,6448.441386935341,677.2206934676706
2024-07-21,,-5094.0,7265.634720268671,1085.8173601343356
2024-07-22,,12223.0,13670.506054195104,12946.753027097551
2024-07-23,,12223.0,14509.928296533113,13366.464148266557
2024-07-24,,12613.5,-11783.045918550226,415.22704072488705
2024-07-25,,-24233.5,6785.2509222601375,-8724.124538869932
2024-07-26,,-7433.5,7349.949253262468,-41.77537336876594
2024-07-27,,-1573.5,6805.25634709674,2615.87817354837
2024-07-28,,-1573.5,6805.25634709674,2615.87817354837
2024-07-29,,-25675.0,12556.373767585255,-6559.313116207372
2024-07-30,,-25675.0,11733.643168938015,-6970.678415530992
2024-07-31,,-57981.0,-8639.82243183106,-33310.411215915534
2024-08-01,,2649.5,-81492.48785714286,-39421.49392857143
2024-08-02,,-23575.0,845.6082232123663,-11364.695888393817
2024-08-03,,-3598.5,1059.5776699878134,-1269.4611650060933
2024-08-04,,-3598.5,5081.198001059775,741.3490005298877
2024-08-05,,9919.0,15056.140461602514,12487.570230801257
2024-08-06,,9919.0,15829.386177624734,12874.193088812368
2024-08-07,,-941.5,-5739.645275553845,-3340.5726377769224
2024-08-08,,-26682.5,4619.099340091114,-11031.700329954443
2024-08-09,,3573.0,4858.814708130481,4215.907354065241
2024-08-10,,1323.0,5639.201637423412,3481.100818711706
2024-08-11,,1323.0,5128.912304090079,3225.9561520450393
2024-08-12,,11791.5,16885.953461602516,14338.726730801258
2024-08-13,,11791.5,17974.019177624734,14882.759588812367
