record_date,debt_catg,debt_catg_desc,close_today_bal,open_today_bal,open_month_bal,open_fiscal_year_bal,table_nbr,table_nm,sub_table_name,src_line_nbr,record_fiscal_year,record_fiscal_quarter,record_calendar_year,record_calendar_quarter,record_calendar_month,record_calendar_day
2023-08-10,Debt Held by the Public,null,25812225,25778305,25708799,24299193,IIIC,Debt Subject to Limit,Balance Transactions,1,2023,4,2023,3,08,10
2023-08-10,Intragovernmental Holdings,null,6845838,6842626,6899786,6629719,IIIC,Debt Subject to Limit,Balance Transactions,2,2023,4,2023,3,08,10
2023-08-10,Debt Not Subject to Limit,Other Debt (-),477,477,477,478,IIIC,Debt Subject to Limit,Balance Transactions,4,2023,4,2023,3,08,10
2023-08-10,Debt Not Subject to Limit,Unamortized Discount (-),87692,83070,82978,54328,IIIC,Debt Subject to Limit,Balance Transactions,5,2023,4,2023,3,08,10
2023-08-10,Debt Not Subject to Limit,Federal Financing Bank (-),5492,5492,5492,4847,IIIC,Debt Subject to Limit,Balance Transactions,6,2023,4,2023,3,08,10
2023-08-10,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2023,4,2023,3,08,10
2023-08-10,Statutory Debt Limit,null,0,0,0,31381463,IIIC,Debt Subject to Limit,Balance Transactions,9,2023,4,2023,3,08,10
2023-08-11,Debt Held by the Public,null,25812095,25812225,25708799,24299193,IIIC,Debt Subject to Limit,Balance Transactions,1,2023,4,2023,3,08,11
2023-08-11,Intragovernmental Holdings,null,6846514,6845838,6899786,6629719,IIIC,Debt Subject to Limit,Balance Transactions,2,2023,4,2023,3,08,11
2023-08-11,Debt Not Subject to Limit,Other Debt (-),477,477,477,478,IIIC,Debt Subject to Limit,Balance Transactions,4,2023,4,2023,3,08,11
2023-08-11,Debt Not Subject to Limit,Unamortized Discount (-),86996,87692,82978,54328,IIIC,Debt Subject to Limit,Balance Transactions,5,2023,4,2023,3,08,11
2023-08-11,Debt Not Subject to Limit,Federal Financing Bank (-),5492,5492,5492,4847,IIIC,Debt Subject to Limit,Balance Transactions,6,2023,4,2023,3,08,11
2023-08-11,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2023,4,2023,3,08,11
2023-08-11,Statutory Debt Limit,null,0,0,0,31381463,IIIC,Debt Subject to Limit,Balance Transactions,9,2023,4,2023,3,08,11
2023-08-14,Debt Held by the Public,null,25812733,25812095,25708799,24299193,IIIC,Debt Subject to Limit,Balance Transactions,1,2023,4,2023,3,08,14
2023-08-14,Intragovernmental Holdings,null,6850797,6846514,6899786,6629719,IIIC,Debt Subject to Limit,Balance Transactions,2,2023,4,2023,3,08,14
2023-08-14,Debt Not Subject to Limit,Other Debt (-),477,477,477,478,IIIC,Debt Subject to Limit,Balance Transactions,4,2023,4,2023,3,08,14
2023-08-14,Debt Not Subject to Limit,Unamortized Discount (-),84908,86996,82978,54328,IIIC,Debt Subject to Limit,Balance Transactions,5,2023,4,2023,3,08,14
2023-08-14,Debt Not Subject to Limit,Federal Financing Bank (-),5492,5492,5492,4847,IIIC,Debt Subject to Limit,Balance Transactions,6,2023,4,2023,3,08,14
2023-08-14,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2023,4,2023,3,08,14
2023-08-14,Statutory Debt Limit,null,0,0,0,31381463,IIIC,Debt Subject to Limit,Balance Transactions,9,2023,4,2023,3,08,14
2023-08-15,Debt Held by the Public,null,25814345,25812733,25708799,24299193,IIIC,Debt Subject to Limit,Balance Transactions,1,2023,4,2023,3,08,15
2023-08-15,Intragovernmental Holdings,null,6865596,6850797,6899786,6629719,IIIC,Debt Subject to Limit,Balance Transactions,2,2023,4,2023,3,08,15
2023-08-15,Debt Not Subject to Limit,Other Debt (-),477,477,477,478,IIIC,Debt Subject to Limit,Balance Transactions,4,2023,4,2023,3,08,15
2023-08-15,Debt Not Subject to Limit,Unamortized Discount (-),85917,84908,82978,54328,IIIC,Debt Subject to Limit,Balance Transactions,5,2023,4,2023,3,08,15
2023-08-15,Debt Not Subject to Limit,Federal Financing Bank (-),5492,5492,5492,4847,IIIC,Debt Subject to Limit,Balance Transactions,6,2023,4,2023,3,08,15
2023-08-15,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2023,4,2023,3,08,15
2023-08-15,Statutory Debt Limit,null,0,0,0,31381463,IIIC,Debt Subject to Limit,Balance Transactions,9,2023,4,2023,3,08,15
2023-08-16,Debt Held by the Public,null,25814898,25814345,25708799,24299193,IIIC,Debt Subject to Limit,Balance Transactions,1,2023,4,2023,3,08,16
2023-08-16,Intragovernmental Holdings,null,6846680,6865596,6899786,6629719,IIIC,Debt Subject to Limit,Balance Transactions,2,2023,4,2023,3,08,16
2023-08-16,Debt Not Subject to Limit,Other Debt (-),477,477,477,478,IIIC,Debt Subject to Limit,Balance Transactions,4,2023,4,2023,3,08,16
2023-08-16,Debt Not Subject to Limit,Unamortized Discount (-),85603,85917,82978,54328,IIIC,Debt Subject to Limit,Balance Transactions,5,2023,4,2023,3,08,16
2023-08-16,Debt Not Subject to Limit,Federal Financing Bank (-),5492,5492,5492,4847,IIIC,Debt Subject to Limit,Balance Transactions,6,2023,4,2023,3,08,16
2023-08-16,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2023,4,2023,3,08,16
2023-08-16,Statutory Debt Limit,null,0,0,0,31381463,IIIC,Debt Subject to Limit,Balance Transactions,9,2023,4,2023,3,08,16
2023-08-17,Debt Held by the Public,null,25850475,25814898,25708799,24299193,IIIC,Debt Subject to Limit,Balance Transactions,1,2023,4,2023,3,08,17
2023-08-17,Intragovernmental Holdings,null,6853217,6846680,6899786,6629719,IIIC,Debt Subject to Limit,Balance Transactions,2,2023,4,2023,3,08,17
2023-08-17,Debt Not Subject to Limit,Other Debt (-),477,477,477,478,IIIC,Debt Subject to Limit,Balance Transactions,4,2023,4,2023,3,08,17
