record_date,transaction_type,transaction_today_amt
2024-05-13,Withdrawals,16501
2024-05-14,Deposits,234081
2024-05-14,Withdrawals,236847
2024-05-15,Deposits,167058
2024-05-15,Withdrawals,266613
2024-05-16,Deposits,296728
2024-05-16,Withdrawals,285960
2024-05-17,Deposits,18692
2024-05-17,Withdrawals,10998
2024-05-20,Deposits,26188
2024-05-20,Withdrawals,13042
2024-05-21,Deposits,232763
2024-05-21,Withdrawals,232078
2024-05-22,Deposits,25180
2024-05-22,Withdrawals,52706
2024-05-23,Deposits,234123
2024-05-23,Withdrawals,241384
2024-05-24,Deposits,13054
2024-05-24,Withdrawals,18724
2024-05-28,Deposits,254136
2024-05-28,Withdrawals,233206
2024-05-29,Deposits,13971
2024-05-29,Withdrawals,16841
2024-05-30,Deposits,229229
2024-05-30,Withdrawals,246197
2024-05-31,Deposits,274658
2024-05-31,Withdrawals,254789
2024-06-03,Deposits,47678
2024-06-03,Withdrawals,54249
2024-06-04,Deposits,213869
2024-06-04,Withdrawals,225577
2024-06-05,Deposits,19347
2024-06-05,Withdrawals,16678
2024-06-06,Deposits,210102
2024-06-06,Withdrawals,232674
2024-06-07,Deposits,14956
2024-06-07,Withdrawals,20194
2024-06-10,Deposits,32718
2024-06-10,Withdrawals,17921
2024-06-11,Deposits,216622
2024-06-11,Withdrawals,239711
2024-06-12,Deposits,26607
2024-06-12,Withdrawals,43613
2024-06-13,Deposits,269244
2024-06-13,Withdrawals,271433
2024-06-14,Deposits,52512
2024-06-14,Withdrawals,24235
2024-06-17,Deposits,231455
2024-06-17,Withdrawals,85150
2024-06-18,Deposits,222727
2024-06-18,Withdrawals,263180
2024-06-20,Deposits,231410
2024-06-20,Withdrawals,241819
2024-06-21,Deposits,25347
2024-06-21,Withdrawals,33673
2024-06-24,Deposits,39713
2024-06-24,Withdrawals,18710
2024-06-25,Deposits,222120
2024-06-25,Withdrawals,239309
2024-06-26,Deposits,22170
2024-06-26,Withdrawals,45210
2024-06-27,Deposits,212950
2024-06-27,Withdrawals,238539
2024-06-28,Deposits,75594
2024-06-28,Withdrawals,16410
2024-07-01,Deposits,251001
2024-07-01,Withdrawals,265361
2024-07-02,Deposits,231434
2024-07-02,Withdrawals,226319
2024-07-03,Deposits,19753
2024-07-03,Withdrawals,42703
2024-07-05,Deposits,229131
2024-07-05,Withdrawals,242583
2024-07-08,Deposits,29192
2024-07-08,Withdrawals,18177
2024-07-09,Deposits,236645
2024-07-09,Withdrawals,232578
2024-07-10,Deposits,16984
2024-07-10,Withdrawals,41902
2024-07-11,Deposits,280402
2024-07-11,Withdrawals,271312
2024-07-12,Deposits,16942
2024-07-12,Withdrawals,13894
2024-07-15,Deposits,181733
2024-07-15,Withdrawals,151660
2024-07-16,Deposits,259468
2024-07-16,Withdrawals,228978
2024-07-17,Deposits,15104
2024-07-17,Withdrawals,43350
2024-07-18,Deposits,230767
2024-07-18,Withdrawals,221766
2024-07-19,Deposits,14469
2024-07-19,Withdrawals,19003
2024-07-22,Deposits,29609
2024-07-22,Withdrawals,31076
2024-07-23,Deposits,253824
2024-07-23,Withdrawals,230139
2024-07-24,Deposits,16863
2024-07-24,Withdrawals,42906
2024-07-25,Deposits,230458
2024-07-25,Withdrawals,229989
2024-07-26,Deposits,13516
2024-07-26,Withdrawals,14885
2024-07-29,Deposits,29619
2024-07-29,Withdrawals,14653
2024-07-30,Deposits,249799
2024-07-30,Withdrawals,228881
2024-07-31,Deposits,281643
2024-07-31,Withdrawals,230063
2024-08-01,Deposits,259093
2024-08-01,Withdrawals,327993
2024-08-02,Deposits,17133
2024-08-02,Withdrawals,43167
2024-08-05,Deposits,28007
2024-08-05,Withdrawals,17864
2024-08-06,Deposits,249460
2024-08-06,Withdrawals,238837
2024-08-07,Deposits,19492
2024-08-07,Withdrawals,14073
2024-08-08,Deposits,286509
2024-08-08,Withdrawals,279448
2024-08-09,Deposits,12100
2024-08-09,Withdrawals,16036
2024-08-12,Deposits,28313
2024-08-12,Withdrawals,16634
2024-08-13,Deposits,255888
2024-08-13,Withdrawals,243308
2024-08-14,Deposits,18337
2024-08-14,Withdrawals,42129
2024-08-15,Deposits,395174
2024-08-15,Withdrawals,458094
2024-08-16,Deposits,26828
2024-08-16,Withdrawals,21802
2024-08-19,Deposits,31269
2024-08-19,Withdrawals,19172
2024-08-20,Deposits,257393
2024-08-20,Withdrawals,241443
2024-08-21,Deposits,18675
2024-08-21,Withdrawals,42927
2024-08-22,Deposits,244848
2024-08-22,Withdrawals,244840
2024-08-23,Deposits,13338
2024-08-23,Withdrawals,13838
2024-08-26,Deposits,27116
